stoupání,rise [raɪz]
Pacifik,pacific [pəˈsɪf.ɪk]
cena,prize [praɪz]
rozumné,reasonable [ˈriː.zən.ə.bəl]
rejstřík,register [ˈredʒ.ɪ.stər]
rezoluce,resolution [ˌrez.əˈluː.ʃən]
venkovský,rural [ˈrʊə.rəl]
připálit,singe [sɪndʒ]
nástroj,tool [tuːl]
typický,typical [ˈtɪp.ɪ.kəl]
vesmír,universe [ˈjuː.nɪ.vɜːs]
varování,warning [ˈwɔː.nɪŋ]
přiznat,admit [ədˈmɪt]
postoj,attitude [ˈæt.ɪ.tʃuːd]
větev,branch [brɑːntʃ]
Brazílie,brazil [brəˈzɪl]
chování,conduct [kənˈdʌkt]
desetiletí,decade [ˈdek.eɪd]
definice,definition [ˌdef.ɪˈnɪʃ.ən]
laskavost,favor [ˈfeɪ.vər]
vlajka,flag [flæɡ]
rám,frame [freɪm]
host,guest [ɡest]
ha,ha [hɑː]
nebe,heaven [ˈhev.ən]
nezávislost,independence [ˌɪn.dɪˈpen.dəns]
instituce,institution [ˌɪn.stɪˈtʃuː.ʃən]
polibek,kiss [kɪs]
zatížení,load [ləʊd]
spiknutí,plot [plɒt]
možnost,possibility [ˌpɒs.əˈbɪl.ə.ti]
náhodný,random [ˈræn.dəm]
zotavení,recovery [rɪˈkʌv.ər.i]
nájemné,rent [rent]
nahradit,replace [rɪˈpleɪs]
zastupovat,represent [ˌrep.rɪˈzent]
senátor,senator [ˈsen.ə.tər]
tip,tip [tɪp]
akademický,academic [ˌæk.əˈdem.ɪk]
akademie,academy [əˈkæd.ə.mi]
přesný,accurate [ˈæk.jə.rət]
dosáhnout,achieve [əˈtʃiːv]
dovolit si,afford [əˈfɔːd]
převzít,assume [əˈsjuːm]
láhev,bottle [ˈbɒt.əl]
chomáč,bunch [bʌntʃ]
kategorie,category [ˈkæt.ə.ɡri]
povídání,chat [tʃæt]
sýr,cheese [tʃiːz]
chemikálie,chemical [ˈkem.ɪ.kəl]
konkurenční,competitive [kəmˈpet.ɪ.tɪv]
strava,diet [ˈdaɪ.ət]
ovoce,fruit [fruːt]
index,index [ˈɪn.deks]
pruh,lane [leɪn]
nepořádek,mess [mes]
námořnictvo,navy [ˈneɪ.vi]
normálně,normally [ˈnɔː.mə.li]
se vyskytnout,occur [əˈkɜːr]
opozice,opposition [ˌɒp.əˈzɪʃ.ən]
trvalý,permanent [ˈpɜː.mə.nənt]
osobně,personally [ˈpɜː.sən.əl.i]
potěšení,pleasure [ˈpleʒ.ər]
preferovat,prefer [prɪˈfɜːr]
zástupce,representative [ˌrep.rɪˈzen.tə.tɪv]
systém,scheme [skiːm]
posun,shift [ʃɪft]
skladování,storage [ˈstɔː.rɪdʒ]
nádrž,tank [tæŋk]
mají tendenci,tend [tend]
pevné,tight [taɪt]
přeprava,transportation [ˌtræn.spɔːˈteɪ.ʃən]
nakonec,ultimately [ˈʌl.tɪ.mət.li]
na rozdíl od,unlike [ʌnˈlaɪk]
týdně,weekly [ˈwiː.kli]
yard,yard [jɑːd]
někdo,anybody [ˈen.iˌbɒd.i]
aktivum,asset [ˈæs.et]
basketball,basketball [ˈbɑː.skɪt.bɔːl]
tlačítko,button [ˈbʌt.ən]
boj,combat [ˈkɒm.bæt]
ústava,constitution [ˌkɒn.stɪˈtʃuː.ʃən]
spotřebitel,consumer [kənˈsjuː.mər]
čelit,counter [ˈkaʊn.tər]
stvoření,creation [kriˈeɪ.ʃən]
koruna,crown [kraʊn]
definovat,define [dɪˈfaɪn]
záviset,depend [dɪˈpend]
deprese,depression [dɪˈpreʃ.ən]
výhradní,exclusive [ɪksˈkluː.sɪv]
omluva,excuse [ɪkˈskjuːz]
expert,expert [ˈek.spɜːt]
často,frequently [ˈfriː.kwənt.li]
golf,golf [ɡɒlf]
milost,grace [ɡreɪs]
doufejme,hopefully [ˈhəʊp.fəl.i]
význam,importance [ɪmˈpɔː.təns]
Lay,lay [leɪ]
druhé,latter [ˈlæt.ər]
hornictví,mining [ˈmaɪ.nɪŋ]
objekt,object [ˈɒb.dʒɪkt]
vzor,pattern [ˈpæt.ən]
personál,personnel [ˌpɜː.sənˈel]
perspektivní,perspective [pəˈspek.tɪv]
těhotná,pregnant [ˈpreɡ.nənt]
premiér,premier [ˈprem.i.ər]
podporovat,promote [prəˈməʊt]
q,q [kjuː]
revoluce,revolution [ˌrev.əˈluː.ʃən]
těžké,severe [sɪˈvɪər]
spací,sleeping [ˈsliː.pɪŋ]
turnaj,tournament [ˈtʊə.nə.mənt]
Turecko,turkey [ˈtɜː.ki]
oběť,victim [ˈvɪk.tɪm]
navštěvovat,attend [əˈtend]
zákaz,ban [bæn]
brilantní,brilliant [ˈbrɪl.jənt]
uhlík,carbon [ˈkɑː.bən]
katolík,catholic [ˈkæθ.əl.ɪk]
kruh,circle [ˈsɜː.kəl]
koncert,concert [ˈkɒn.sət]
pád,crash [kræʃ]
prohlásit,declare [dɪˈkleər]
hloubka,depth [depθ]
zástupce,deputy [ˈdep.jə.ti]
špinavý,dirty [ˈdɜː.ti]
vydělat,earn [ɜːn]
elektronický,electronic [ˌel.ɪkˈtrɒn.ɪk]
chyba,error [ˈer.ər]
existence,existence [ɪɡˈzɪs.təns]
výraz,expression [ɪkˈspreʃ.ən]
továrna,factory [ˈfæk.tər.i]
interiér,interior [ɪnˈtɪə.ri.ər]
radost,joy [dʒɔɪ]
legislativa,legislation [ˌledʒ.ɪˈsleɪ.ʃən]
údržba,maintenance [ˈmeɪn.tən.əns]
způsob,manner [ˈmæn.ər]
Mate,mate [meɪt]
poblíž,nearby [ˌnɪəˈbaɪ]
hluk,noise [nɔɪz]
původ,origin [ˈɒr.ɪ.dʒɪn]
panel,panel [ˈpæn.əl]
úleva,relief [rɪˈliːf]
odpor,resistance [rɪˈzɪs.təns]
maloobchodní,retail [ˈriː.teɪl]
rýže,rice [raɪs]
střecha,roof [ruːf]
ostuda,shame [ʃeɪm]
poněkud,somewhat [ˈsʌm.wɒt]
jistě,surely [ˈʃɔː.li]
absolutní,absolute [ˈæb.sə.luːt]
inzerce,advertising [ˈæd.və.taɪ.zɪŋ]
baseball,baseball [ˈbeɪs.bɔːl]
koupelna,bathroom [ˈbɑːθ.ruːm]
kabel,cable [ˈkeɪ.bəl]
uklidnit,calm [kɑːm]
mistrovství,championship [ˈtʃæm.pi.ən.ʃɪp]
klient,client [ˈklaɪ.ənt]
konstantní,constant [ˈkɒn.stənt]
němý,dumb [dʌm]
říše,empire [ˈem.paɪər]
vzrušující,exciting [ɪkˈsaɪ.tɪŋ]
rozšíření,expansion [ɪkˈspæn.ʃən]
těžce,heavily [ˈhev.əl.i]
skrýt,hide [haɪd]
incident,incident [ˈɪn.sɪ.dənt]
politik,politician [ˌpɒl.ɪˈtɪʃ.ən]
vytisknout,print [prɪnt]
přestat,quit [kwɪt]
odmítnout,refuse [rɪˈfjuːz]
pohled,sight [saɪt]
významně,significantly [sɪɡˈnɪf.ɪ.kənt.li]
zpívat,sing [sɪŋ]
sovětský,soviet [ˈsəʊ.vi.ət]
mokrý,wet [wet]
široce,widely [ˈwaɪd.li]
výročí,anniversary [ˌæn.ɪˈvɜː.sər.i]
atraktivní,attractive [əˈtræk.tɪv]
kolo,bike [baɪk]
široký,broad [brɔːd]
hořet,burn [bɜːn]
dort,cake [keɪk]
úzce,closely [ˈkləʊs.li]
neustále,constantly [ˈkɒn.stənt.li]
soutěž,contest [ˈkɒn.test]
poplatek,fee [fiː]
sotva,hardly [ˈhɑːd.li]
čepice,hat [hæt]
výška,height [haɪt]
pozvat,invite [ɪnˈvaɪt]
hlasitý,loud [laʊd]
Marine,marine [məˈriːn]
vrchol,peak [piːk]
část,portion [ˈpɔː.ʃən]
libra,pound [paʊnd]
princezna,princess [prɪnˈses]
protein,protein [ˈprəʊ.tiːn]
syrový,raw [rɔː]
reforma,reform [rɪˈfɔːm]
reagovat,respond [rɪˈspɒnd]
odchod do důchodu,retirement [rɪˈtaɪə.mənt]
