potěr,fry [fraɪ]
sprint,sprint [sprɪnt]
rozruch,stir [stɜːr]
podstatně,substantially [səbˈstæn.ʃəl.i]
předměstí,suburb [ˈsʌb.ɜːb]
nádherný,superb [suːˈpɜːb]
údajně,supposedly [səˈpəʊ.zɪd.li]
Tab,tab [tæb]
tendence,tendency [ˈten.dən.si]
jejich,theirs [ðeəz]
toast,toast [təʊst]
přistání,touchdown [ˈtʌtʃ.daʊn]
vlastnost,trait [treɪt]
triumf,triumph [ˈtraɪ.əmf]
spodní prádlo,underwear [ˈʌn.də.weər]
životaschopný,viable [ˈvaɪ.ə.bəl]
pás,waist [weɪst]
vtip,wit [wɪt]
vrak,wreck [rek]
absurdní,absurd [əbˈsɜːd]
příslušenství,accessory [əkˈses.ər.i]
ambiciózní,ambitious [æmˈbɪʃ.əs]
uprostřed,amid [əˈmɪd]
balet,ballet [ˈbæl.eɪ]
vyjednávat,bargain [ˈbɑː.ɡɪn]
binární,binary [ˈbaɪ.nər.i]
směs,blend [blend]
brzda,brake [breɪk]
podnikatel,businessman [ˈbɪz.nɪs.mən]
kabina,cab [kæb]
kolize,collision [kəˈlɪʒ.ən]
soucit,compassion [kəmˈpæʃ.ən]
konzumovat,consume [kənˈsjuːm]
oprava,correction [kəˈrek.ʃən]
kašel,cough [kɒf]
sklad,depot [ˈdep.əʊ]
nouze,distress [dɪˈstres]
dokumentace,documentation [ˌdɒk.jə.menˈteɪ.ʃən]
dramaticky,dramatically [drəˈmæt.ɪ.kəl.i]
elegantní,elegant [ˈel.ɪ.ɡənt]
výtah,elevator [ˈel.ɪ.veɪ.tər]
svátek,feast [fiːst]
Finsko,finland [ˈfɪn.lənd]
mráz,frost [frɒst]
ohlašovat,herald [ˈher.əld]
trampovat,hike [haɪk]
dutý,hollow [ˈhɒl.əʊ]
vlast,homeland [ˈhəʊm.lænd]
mezinárodně,internationally [ˌɪn.təˈnæʃ.ən.əl.i]
chromý,lame [leɪm]
lilie,lily [ˈlɪl.i]
skříňka,locker [ˈlɒk.ər]
rozjímání,meditation [ˌmed.ɪˈteɪ.ʃən]
posel,messenger [ˈmes.ɪn.dʒər]
tužka,pencil [ˈpen.səl]
filozofický,philosophical [ˌfɪl.əˈsɒf.ɪ.kəl]
plazma,plasma [ˈplæz.mə]
prosba,plea [pliː]
peněženka,purse [pɜːs]
quarterback,quarterback [ˈkwɔː.tə.bæk]
zmírnit,relieve [rɪˈliːv]
spása,salvation [sælˈveɪ.ʃən]
sankce,sanction [ˈsæŋk.ʃən]
světský,secular [ˈsek.jə.lər]
citlivost,sensitivity [ˌsen.sɪˈtɪv.ə.ti]
povzdech,sigh [saɪ]
šestnáct,sixteen [ˌsɪkˈstiːn]
suverénní,sovereign [ˈsɒv.ər.ɪn]
specifikace,specification [ˌspes.ɪ.fɪˈkeɪ.ʃən]
manžel,spouse [spaʊs]
Vedoucí,supervisor [ˈsuː.pə.vaɪ.zər]
syntetický,synthetic [sɪnˈθet.ɪk]
čas,tense [tens]
děsivé,terrifying [ˈter.ə.faɪ.ɪŋ]
obchodník,trader [ˈtreɪ.dər]
divočina,wilderness [ˈwɪl.də.nəs]
poradce,adviser [ədˈvaɪ.zər]
agregát,aggregate [ˈæɡ.rɪ.ɡət]
anální,anal [ˈeɪ.nəl]
anatomie,anatomy [əˈnæt.ə.mi]
žadatel,applicant [ˈæp.lɪ.kənt]
automobil,automobile [ˈɔː.tə.mə.biːl]
cement,cement [sɪˈment]
kompozitní,composite [ˈkɒm.pə.zɪt]
v důsledku toho,consequently [ˈkɒn.sɪ.kwənt.li]
kormidelník,cox [kɒks]
vyzdobit,decorate [ˈdek.ə.reɪt]
delegát,delegate [ˈdel.ɪ.ɡət]
nudný,dull [dʌl]
jízdné,fare [feər]
generátor,generator [ˈdʒen.ər.eɪ.tər]
mletí,grind [ɡraɪnd]
háj,grove [ɡrəʊv]
guma,gum [ɡʌm]
hobby,hobby [ˈhɒb.i]
modla,idol [ˈaɪ.dəl]
iluze,illusion [ɪˈluː.ʒən]
nesprávný,incorrect [ˌɪn.kərˈekt]
spojení,junction [ˈdʒʌŋk.ʃən]
Lance,lance [lɑːns]
skok,leap [liːp]
lynčovat,lynch [lɪntʃ]
modelování,modeling [ˈmɑː.dəl.ɪŋ]
motiv,motive [ˈməʊ.tɪv]
optimální,optimal [ˈɒp.tɪ.məl]
přesčas,overtime [ˈəʊ.və.taɪm]
poštovní,postal [ˈpəʊ.stəl]
přípravka,prep [prep]
hluboký,profound [prəˈfaʊnd]
příjemce,recipient [rɪˈsɪp.i.ənt]
vrácení peněz,refund [ˈriː.fʌnd]
riskantní,risky [ˈrɪs.ki]
robustní,robust [rəʊˈbʌst]
podvod,scam [skæm]
simulace,simulation [ˌsɪm.jəˈleɪ.ʃən]
střízlivý,sober [ˈsəʊ.bər]
koření,spice [spaɪs]
sevření,squeeze [skwiːz]
dozor,supervision [ˌsuː.pəˈvɪʒ.ən]
swap,swap [swɒp]
terén,terrain [təˈreɪn]
vyděsit,terrify [ˈter.ə.faɪ]
vzrušení,thrill [θrɪl]
ručník,towel [taʊəl]
trio,trio [ˈtriː.əʊ]
v bezvědomí,unconscious [ʌnˈkɒn.ʃəs]
ověřit,verify [ˈver.ɪ.faɪ]
ctnost,virtue [ˈvɜː.tʃuː]
Zombie,zombie [ˈzɒm.bi]
vzniknout,arise [əˈraɪz]
automobilový průmysl,automotive [ˌɔː.təˈməʊ.tɪv]
bojiště,battlefield [ˈbæt.əl.fiːld]
květ,bloom [bluːm]
otvor,bore [bɔːr]
svazek,bundle [ˈbʌn.dəl]
motýl,butterfly [ˈbʌt.ə.flaɪ]
oběť,casualty [ˈkæʒ.ju.əl.ti]
klaun,clown [klaʊn]
spojení,conjunction [kənˈdʒʌŋk.ʃən]
nákladné,costly [ˈkɒst.li]
klesání,descent [dɪˈsent]
vytočit,dial [ˈdaɪ.əl]
adresář,directory [dɪˈrek.tər.i]
splnit,discharge [dɪsˈtʃɑːdʒ]
vyhnout se,dodge [dɒdʒ]
vrtání,drilling [drɪl]
odstranění,elimination [iˌlɪm.ɪˈneɪ.ʃən]
zázvor,ginger [ˈdʒɪn.dʒər]
cech,guild [ɡɪld]
zastavit,halt [hɒlt]
Han,han [hæn]
neschopnost,inability [ˌɪn.əˈbɪl.ə.ti]
přicházející,incoming [ˈɪnˌkʌm.ɪŋ]
Jar,jar [dʒɑːr]
soudní spory,litigation [ˌlɪt.ɪˈɡeɪ.ʃən]
učitel,mentor [ˈmen.tɔːr]
zboží,merchandise [ˈmɜː.tʃən.daɪz]
norma,norm [nɔːm]
urazit,offend [əˈfend]
ortodoxní,orthodox [ˈɔː.θə.dɒks]
režijní,overhead [ˈəʊ.və.hed]
malíř,painter [ˈpeɪn.tər]
prorazit,pierce [pɪəs]
pistole,pistol [ˈpɪs.təl]
tiskárna,printer [ˈprɪn.tər]
náchylný,prone [prəʊn]
nájezdník,raider [ˈreɪ.dər]
snadno,readily [ˈred.əl.i]
regiment,regiment [ˈredʒ.ɪ.mənt]
shledání,reunion [ˌriːˈjuː.njən]
obrození,revival [rɪˈvaɪ.vəl]
svatyně,sanctuary [ˈsæŋk.tʃʊə.ri]
Satan,satan [ˈseɪ.tən]
senzor,sensor [ˈsen.sər]
obležení,siege [siːdʒ]
šedesát,sixty [ˈsɪk.sti]
rukáv,sleeve [sliːv]
zvukový,sonic [ˈsɒn.ɪk]
páteř,spine [spaɪn]
řízení,steering [stɪər]
udržovat,sustain [səˈsteɪn]
držba,tenure [ˈten.jər]
textura,texture [ˈteks.tʃər]
vděčný,thankful [ˈθæŋk.fəl]
pokladník,treasurer [ˈtreʒ.ər.ər]
trojúhelník,triangle [ˈtraɪ.æŋ.ɡəl]
nejasný,unclear [ʌnˈklɪər]
Čaroděj,wizard [ˈwɪz.əd]
absorbovat,absorb [əbˈzɔːb]
náklonnost,affection [əˈfek.ʃən]
letoun,airplane [ˈeə.pleɪn]
nadmořská výška,altitude [ˈæl.tɪ.tʃuːd]
upéct,bake [beɪk]
krásně,beautifully [ˈbjuː.tɪ.fəl.i]
vypískat,boo [buː]
kompetentní,competent [ˈkɒm.pɪ.tənt]
venkov,countryside [ˈkʌn.tri.saɪd]
jeřáb,crane [kreɪn]
trosky,debris [ˈdeb.riː]
delegace,delegation [ˌdel.ɪˈɡeɪ.ʃən]
demografický,demographic [ˌdem.əˈɡræf.ɪk]
dárce,donor [ˈdəʊ.nər]
zapsat,enrol [ɪnˈrəʊl]
překročit,exceed [ɪkˈsiːd]
vyloučit,exclude [ɪksˈkluːd]
divoký,fierce [fɪəs]
kroupy,hail [heɪl]
heroin,heroin [ˈher.əʊ.ɪn]
ilustrace,illustration [ˌɪl.əˈstreɪ.ʃən]
indikátor,indicator [ˈɪn.dɪ.keɪ.tər]
nerovnost,inequality [ˌɪn.ɪˈkwɒl.ə.ti]
interpretovat,interpret [ɪnˈtɜː.prɪt]
volný čas,leisure [ˈleʒ.ər]
půjčovat,lend [lend]
Lounge,lounge [laʊndʒ]
naštěstí,luckily [ˈlʌk.əl.i]
rukopis,manuscript [ˈmæn.jə.skrɪpt]
máta,mint [mɪnt]
oznámení,notification [ˌnəʊ.tɪ.fɪˈkeɪ.ʃən]
Nova,nova [ˈnəʊ.və]
obrys,outline [ˈaʊt.laɪn]
pi,pi [paɪ]
zdvořilý,polite [pəˈlaɪt]
chlípný,randy [ˈræn.di]
příjem,receipt [rɪˈsiːt]
spolehlivost,reliability [rɪˌlaɪ.əˈbɪl.ə.ti]
maloobchodník,retailer [ˈriː.teɪ.lər]
přistávací dráha,runway [ˈrʌn.weɪ]
sochařství,sculpture [ˈskʌlp.tʃər]
vitrína,showcase [ˈʃəʊ.keɪs]
pomocný,subsidiary [səbˈsɪd.i.ə.ri]
desátý,tenth [tenθ]
teologie,theology [θiˈɒl.ə.dʒi]
pod vodou,underwater [ˌʌn.dəˈwɔː.tər]
rychlost,velocity [vəˈlɒs.ə.ti]
vosk,wax [wæks]
odpovědnost,accountability [əˌkaʊn.təˈbɪl.ə.ti]
letecký,aerial [ˈeə.ri.əl]
i když,albeit [ɔːlˈbiː.ɪt]
alkoholik,alcoholic [ˌæl.kəˈhɒl.ɪk]
ohromen,amazed [əˈmeɪzd]
ctižádost,ambition [æmˈbɪʃ.ən]
munice,ammunition [ˌæm.jəˈnɪʃ.ən]
hymna,anthem [ˈæn.θəm]
dávka,batch [bætʃ]
katalog,catalogue [ˈkæt.əl.ɒɡ]
charitativní,charitable [ˈtʃær.ə.tə.bəl]
kolektor,collector [kəˈlek.tər]
kompliment,compliment [ˈkɒm.plɪ.mənt]
neustále,continually [kənˈtɪn.ju.ə.li]
nasazení,deployment [dɪˈplɔɪ.mənt]
příjemný,enjoyable [ɪnˈdʒɔɪ.ə.bəl]
exotický,exotic [ɪɡˈzɒt.ɪk]
vnější,exterior [ɪkˈstɪə.ri.ər]
ženský,feminine [ˈfem.ɪ.nɪn]
zuřivost,fury [ˈfjʊə.ri]
genocida,genocide [ˈdʒen.ə.saɪd]
pohled,glance [ɡlɑːns]
záře,glow [ɡləʊ]
seno,hay [heɪ]
humanitární,humanitarian [hjuːˌmæn.ɪˈteə.ri.ən]
imunita,immunity [ɪˈmjuː.nə.ti]
zdědit,inherit [ɪnˈher.ɪt]
osvobození,liberation [ˌlɪb.ərˈeɪ.ʃən]
pravděpodobnost,likelihood [ˈlaɪ.kli.hʊd]
osamělý,lone [ləʊn]
masakr,massacre [ˈmæs.ə.kər]
nacionalista,nationalist [ˈnæʃ.ən.əl.ɪst]
nutnost,necessity [nəˈses.ə.ti]
přezdívka,nickname [ˈnɪk.neɪm]
pozorovatel,observer [əbˈzɜː.vər]
offshore,offshore [ˌɒfˈʃɔːr]
volitelný,optional [ˈɒp.ʃən.əl]
tatínek,papa [pəˈpɑː]
pasta,paste [peɪst]
průkopník,pioneer [ˌpaɪəˈnɪər]
náměstí,plaza [ˈplæz.ə]
předepsat,prescribe [prɪˈskraɪb]
prosperita,prosperity [prɒsˈper.ə.ti]
rekreační,recreational [ˌrek.riˈeɪ.ʃən.əl]
útočiště,refuge [ˈref.juːdʒ]
obnovitelné,renewable [rɪˈnjuː.ə.bəl]
pytel,sack [sæk]
nedostatek,shortage [ˈʃɔː.tɪdʒ]
koule,sphere [sfɪər]
předměstský,suburban [səˈbɜː.bən]
dodavatel,supplier [səˈplaɪ.ər]
strašně,terribly [ˈter.ə.bli]
územní,territorial [ˌter.ɪˈtɔː.ri.əl]
Thriller,thriller [ˈθrɪl.ər]
hodit,toss [tɒs]
želva,turtle [ˈtɜː.təl]
slovní,verbal [ˈvɜː.bəl]
porušit,violate [ˈvaɪ.ə.leɪt]
vlna,wool [wʊl]
odpovědný,accountable [əˈkaʊn.tə.bəl]
obhajoba,advocacy [ˈæd.və.kə.si]
následky,aftermath [ˈɑːf.tə.mæθ]
agrese,aggression [əˈɡreʃ.ən]
analyzovat,analyze [ˈæn.əl.aɪz]
balón,balloon [bəˈluːn]
otupit,blunt [blʌnt]
trdlo,boob [buːb]
brigáda,brigade [brɪˈɡeɪd]
pohřbení,burial [ˈber.i.əl]
kardinál,cardinal [ˈkɑː.dɪ.nəl]
sbor,chorus [ˈkɔː.rəs]
Chrome,chrome [krəʊm]
jasnost,clarity [ˈklær.ə.ti]
Důvěrné,confidential [ˌkɒn.fɪˈden.ʃəl]
uvážení,discretion [dɪˈskreʃ.ən]
příkop,ditch [dɪtʃ]
kupole,dome [dəʊm]
drogový,dope [dəʊp]
sucho,drought [draʊt]
nadmořská výška,elevation [ˌel.ɪˈveɪ.ʃən]
úcta,esteem [ɪˈstiːm]
Fe,fe [aɪən]
mlha,fog [fɒɡ]
gesto,gesture [ˈdʒes.tʃər]
Bože,gosh [ɡɒʃ]
historik,historian [hɪˈstɔː.ri.ən]
horizontální,horizontal [ˌhɒr.ɪˈzɒn.təl]
pohostinství,hospitality [ˌhɒs.pɪˈtæl.ə.ti]
rukojmí,hostage [ˈhɒs.tɪdʒ]
jednotlivě,individually [ˌɪn.dɪˈvɪdʒ.u.ə.li]
chlapec,lad [læd]
Výpis,listing [ˈlɪs.tɪŋ]
gramotnost,literacy [ˈlɪt.ər.ə.si]
migrant,migrant [ˈmaɪ.ɡrənt]
uvést v omyl,mislead [ˌmɪsˈliːd]
vlhkost,moisture [ˈmɔɪs.tʃər]
památka,monument [ˈmɒn.jə.mənt]
úmrtnost,mortality [mɔːˈtæl.ə.ti]
posedlost,obsession [əbˈseʃ.ən]
OPT,opt [ɒpt]
arašíd,peanut [ˈpiː.nʌt]
trvalé,persistent [pəˈsɪs.tənt]
ropa,petroleum [pəˈtrəʊ.li.əm]
Farmaceutický,pharmaceutical [ˌfɑː.məˈsuː.tɪ.kəl]
postup,progression [prəˈɡreʃ.ən]
nosič,rack [ræk]
obnovit,rebuild [ˌriːˈbɪld]
záznam,recording [rɪˈkɔː.dɪŋ]
odmítnutí,rejection [rɪˈdʒek.ʃən]
nádrž,reservoir [ˈrez.ə.vwɑːr]
šrot,scrap [skræp]
pocit,sensation [senˈseɪ.ʃən]
Hřídel,shaft [ʃɑːft]
pastýř,shepherd [ˈʃep.əd]
snack,snack [snæk]
reflektor,spotlight [ˈspɒt.laɪt]
bodnout,stab [stæb]
záď,stern [stɜːn]
tuhý,stiff [stɪf]
útočník,striker [ˈstraɪ.kər]
úžasný,terrific [təˈrɪf.ɪk]
rajče,tomato [təˈmɑː.təʊ]
Tory,tory [ˈtɔː.ri]
průhlednost,transparency [trænˈspær.ən.si]
Trojice,trinity [ˈtrɪn.ə.ti]
nezaměstnaní,unemployed [ˌʌn.ɪmˈplɔɪd]
sjednotit,unite [juːˈnaɪt]
odemknout,unlock [ʌnˈlɒk]
klenba,vault [vɒlt]
veterinář,vet [vet]
vůz,wagon [ˈwæɡ.ən]
nepříznivý,adverse [ˈæd.vɜːs]
Alumnus,alumnus [əˈlʌm.nəs]
chvíli,awhile [əˈwaɪl]
ano,aye [aɪ]
životopis,biography [baɪˈɒɡ.rə.fi]
makléř,broker [ˈbrəʊ.kər]
prohlížeč,browser [ˈbraʊ.zər]
buněčný,cellular [ˈsel.jə.lər]
koktejl,cocktail [ˈkɒk.teɪl]
treska,cod [kɒd]
mládě,cub [kʌb]
destruktivní,destructive [dɪˈstrʌk.tɪv]
nechuť,dislike [dɪˈslaɪk]
rozloučení,farewell [ˌfeəˈwel]
pěst,fist [fɪst]
pošetilý,foolish [ˈfuː.lɪʃ]
žába,frog [frɒɡ]
jestřáb,hawk [hɔːk]
dědic,heir [eər]
holocaust,holocaust [ˈhɒl.ə.kɔːst]
odnětí svobody,imprisonment [ɪmˈprɪz.ən.mənt]
pronajímatel,landlord [ˈlænd.lɔːd]
mezník,landmark [ˈlænd.mɑːk]
odpovědný,liable [ˈlaɪ.ə.bəl]
uprostřed,midst [mɪdst]
bída,misery [ˈmɪz.ər.i]
modul,module [ˈmɒdʒ.uːl]
Maminka,mommy [ˈmɒm.i]
mešita,mosque [mɒsk]
cibule,onion [ˈʌn.jən]
mor,plague [pleɪɡ]
pozitivně,positively [ˈpɒz.ə.tɪv.li]
darebák,rogue [rəʊɡ]
ostře,sharply [ˈʃɑːp.li]
upřímně,sincerely [sɪnˈsɪə.li]
solidarita,solidarity [ˌsɒl.ɪˈdær.ə.ti]
nadpřirozený,supernatural [ˌsuː.pəˈnætʃ.ər.əl]
třináct,thirteen [θɜːˈtiːn]
hrobka,tomb [tuːm]
turné,touring [ˈtʊə.rɪŋ]
oříznout,trim [trɪm]
deštník,umbrella [ʌmˈbrel.ə]
cesta,voyage [ˈvɔɪ.ɪdʒ]
opatství,abbey [ˈæb.i]
nastavení,adjustment [əˈdʒʌst.mənt]
příloha,attachment [əˈtætʃ.mənt]
baron,baron [ˈbær.ən]
Blah,blah [blɑː]
bombardér,bomber [ˈbɒm.ər]
králíček,bunny [ˈbʌn.i]
svíčka,candle [ˈkæn.dəl]
vyřezávat,carve [kɑːv]
pěvecký sbor,choir [kwaɪər]
spojka,clutch [klʌtʃ]
kokos,coconut [ˈkəʊ.kə.nʌt]
obsahovat,comprise [kəmˈpraɪz]
zpověď,confession [kənˈfeʃ.ən]
koridor,corridor [ˈkɒr.ɪ.dɔːr]
důvěryhodnost,credibility [ˌkred.əˈbɪl.ə.ti]
kriticky,critically [ˈkrɪt.ɪ.kəl.i]
rozptýlit,distract [dɪˈstrækt]
delfín,dolphin [ˈdɒl.fɪn]
čtrnáct,fourteen [ˌfɔːˈtiːn]
geometrie,geometry [dʒiˈɒm.ə.tri]
drby,gossip [ˈɡɒs.ɪp]
prarodič,grandparent [ˈɡræn.peə.rənt]
dopravovat,haul [hɔːl]
záhlaví,header [ˈhed.ər]
cesmína,holly [ˈhɒl.i]
obrovský,immense [ɪˈmens]
zasahovat,interfere [ˌɪn.təˈfɪər]
průsečík,intersection [ˌɪn.təˈsek.ʃən]
vyšetřovatel,investigator [ɪnˈves.tɪ.ɡeɪ.tər]
mladistvý,juvenile [ˈdʒuː.vən.aɪl]
Karma,karma [ˈkɑː.mə]
vliv,leverage [ˈliː.vər.ɪdʒ]
Manila,manila [məˈnɪl.ə]
metrický,metric [ˈmet.rɪk]
milice,militia [mɪˈlɪʃ.ə]
uzel,node [nəʊd]
otvírák,opener [ˈəʊ.pən.ər]
umělec,performer [pəˈfɔː.mər]
zbytečné,pointless [ˈpɔɪnt.ləs]
výzva,prompt [prɒmpt]
blízkost,proximity [prɒkˈsɪm.ə.ti]
kvalifikace,qualification [ˌkwɒl.ɪ.fɪˈkeɪ.ʃən]
vykreslení,render [ˈren.dər]
obrácený,reversed [rɪˈvɜːs]
smutek,sadness [ˈsæd.nəs]
selektivní,selective [sɪˈlek.tɪv]
lesklý,shiny [ˈʃaɪ.ni]
socialismus,socialism [ˈsəʊ.ʃəl.ɪ.zəm]
kyselý,sour [saʊər]
lžíce,spoon [spuːn]
stresující,stressful [ˈstres.fəl]
nájemce,tenant [ˈten.ənt]
terasa,terrace [ˈter.əs]
zloděj,thief [θiːf]
tribunál,tribunal [traɪˈbjuː.nəl]
nepochybně,undoubtedly [ʌnˈdaʊ.tɪd.li]
darebák,villain [ˈvɪl.ən]
pískat,whistle [ˈwɪs.əl]
roční,yearly [ˈjɪə.li]
zneužívající,abusive [əˈbjuː.sɪv]
alej,alley [ˈæl.i]
chuť,appetite [ˈæp.ə.taɪt]
Billboard,billboard [ˈbɪl.bɔːd]
výpočet,calculation [ˌkæl.kjəˈleɪ.ʃən]
otěhotnět,conceive [kənˈsiːv]
konzultovat,consult [kənˈsʌlt]
zatracený,damned [dæmd]
rozpustit,dissolve [dɪˈzɒlv]
rozlišovat,distinguish [dɪˈstɪŋ.ɡwɪʃ]
dynastie,dynasty [ˈdɪn.ə.sti]
ekonom,economist [iˈkɒn.ə.mɪst]
podpořit,endorse [ɪnˈdɔːs]
rozsáhle,extensively [ɪkˈsten.sɪv.li]
čelo,forehead [ˈfɒr.ɪd]
cizinec,foreigner [ˈfɒr.ə.nər]
odpuštění,forgiveness [fəˈɡɪv.nəs]
klenot,gem [dʒem]
rokle,glen [ɡlen]
strašit,haunt [hɔːnt]
vřes,heather [ˈheð.ər]
hypotéza,hypothesis [haɪˈpɒθ.ə.sɪs]
nelegálně,illegally [ɪˈliː.ɡəl.i]
sklon,incline [ɪnˈklaɪn]
bažina,marsh [mɑːʃ]
maršál,marshal [ˈmɑː.ʃəl]
splatnost,maturity [məˈtʃʊə.rə.ti]
chaotický,messy [ˈmes.i]
optimistický,optimistic [ˌɒp.tɪˈmɪs.tɪk]
sova,owl [aʊl]
LÉKÁRNA,pharmacy [ˈfɑː.mə.si]
problematický,problematic [ˌprɒb.ləˈmæt.ɪk]
procesor,processor [ˈprəʊ.ses.ər]
propagační,promotional [prəˈməʊ.ʃən.əl]
budoucí,prospective [prəˈspek.tɪv]
Psychiatric,psychiatric [ˌsaɪ.kiˈæt.rɪk]
renesance,renaissance [rəˈneɪ.səns]
zrušení,repeal [rɪˈpiːl]
pečeně,roast [rəʊst]
odpadky,rubbish [ˈrʌb.ɪʃ]
sága,saga [ˈsɑː.ɡə]
salon,salon [ˈsæl.ɒn]
sedmnáct,seventeen [ˌsev.ənˈtiːn]
sodík,sodium [ˈsəʊ.di.əm]
přebytek,surplus [ˈsɜː.pləs]
polykat,swallow [ˈswɒl.əʊ]
systematický,systematic [ˌsɪs.təˈmæt.ɪk]
přenos,transmit [trænzˈmɪt]
nepřijatelný,unacceptable [ˌʌn.əkˈsep.tə.bəl]
nevědomý,unaware [ˌʌn.əˈweər]
neobvyklé,uncommon [ʌnˈkɒm.ən]
Probíhá,underway [ˌʌn.dəˈweɪ]
nestabilní,unstable [ʌnˈsteɪ.bəl]
nahoru,upstairs [ʌpˈsteəz]
vágní,vague [veɪɡ]
Wee,wee [wiː]
Woo,woo [wuː]
zip,zip [zɪp]
hojnost,abundance [əˈbʌn.dəns]
mravenec,ant [ænt]
starožitnost,antique [ænˈtiːk]
autonomie,autonomy [ɔːˈtɒn.ə.mi]
behaviorální,behavioral [bɪˈheɪ.vjə.rəl]
rezervace,booking [ˈbʊk.ɪŋ]
vánek,breeze [briːz]
karneval,carnival [ˈkɑː.nɪ.vəl]
zboží,commodity [kəˈmɒd.ə.ti]
Kongresman,congressman [ˈkɒŋ.ɡres.mən]
korál,coral [ˈkɒr.əl]
korelace,correlation [ˌkɒr.əˈleɪ.ʃən]
korespondent,correspondent [ˌkɒr.ɪˈspɒn.dənt]
kupón,coupon [ˈkuː.pɒn]
závěs,curtain [ˈkɜː.tən]
zubař,dentist [ˈden.tɪst]
Dodger,dodger [ˈdɒdʒ.ər]
těsto,dough [dəʊ]
obálka,envelope [ˈen.və.ləʊp]
vyblednout,fade [feɪd]
únava,fatigue [fəˈtiːɡ]
přátelství,fellowship [ˈfel.əʊ.ʃɪp]
smyšlený,fictional [ˈfɪk.ʃən.əl]
křehký,fragile [ˈfrædʒ.aɪl]
Fringe,fringe [frɪndʒ]
splnit,fulfill [fʊlˈfɪl]
žula,granite [ˈɡræn.ɪt]
příručka,handbook [ˈhænd.bʊk]
Hardy,hardy [ˈhɑː.di]
instinkt,instinct [ˈɪn.stɪŋkt]
ironie,irony [ˈaɪ.rə.ni]
justiční,judiciary [dʒuːˈdɪʃ.ər.i]
legie,legion [ˈliː.dʒən]
smrtící,lethal [ˈliː.θəl]
vápno,lime [laɪm]
živý,lively [ˈlaɪv.li]
služka,maid [meɪd]
javor,maple [ˈmeɪ.pəl]
paní,mistress [ˈmɪs.trəs]
morálka,morality [məˈræl.ə.ti]
smrtelný,mortal [ˈmɔː.təl]
nezisková organizace,nonprofit [nɑnˈprɑf·ɪt]
operativní,operative [ˈɒp.ər.ə.tɪv]
Panama,panama [ˈpæn.ə.mɑː]
vyzvednutí,pickup [ˈpɪk.ʌp]
prestižní,prestigious [presˈtɪdʒ.əs]
poloměr,radius [ˈreɪ.di.əs]
rozhodčí,referee [ˌref.əˈriː]
relé,relay [ˌrɪˈleɪ]
souprava,rig [rɪɡ]
svitek,scroll [skrəʊl]
Sh,sh [ʃː]
svrchovanost,sovereignty [ˈsɒv.rɪn.ti]
zakrnět,stunt [stʌnt]
sluneční světlo,sunlight [ˈsʌn.laɪt]
surfovat,surf [sɜːf]
symbolický,symbolic [sɪmˈbɒl.ɪk]
synchronizace,sync [sɪŋk]
poplatník,taxpayer [ˈtæksˌpeɪ.ər]
pokoušet,tempt [tempt]
tah,thrust [θrʌst]
trilogie,trilogy [ˈtrɪl.ə.dʒi]
děvka,whore [hɔːr]
obvinění,accusation [ˌæk.jəˈzeɪ.ʃən]
Příspěvek,allowance [əˈlaʊ.əns]
libovolný,arbitrary [ˈɑː.bɪ.trər.i]
autonomní,autonomous [ɔːˈtɒn.ə.məs]
návnada,bait [beɪt]
kůra,bark [bɑːk]
podprsenka,bra [brɑː]
bratrství,brotherhood [ˈbrʌð.ə.hʊd]
stavitel,builder [ˈbɪl.dər]
kočár,carriage [ˈkær.ɪdʒ]
cenzura,censorship [ˈsen.sə.ʃɪp]
vyjasnit,clarify [ˈklær.ɪ.faɪ]
sestavení,compilation [ˌkɒm.pɪˈleɪ.ʃən]
skladatel,composer [kəmˈpəʊ.zər]
představovat,constitute [ˈkɒn.stɪ.tʃuːt]
korespondence,correspondence [ˌkɒr.ɪˈspɒn.dəns]
žádoucí,desirable [dɪˈzaɪə.rə.bəl]
zničující,devastating [ˈdev.ə.steɪ.tɪŋ]
diagram,diagram [ˈdaɪ.ə.ɡræm]
postavit,erect [ɪˈrekt]
badatel,explorer [ɪkˈsplɔː.rər]
příznivý,favorable [ˈfeɪ.vər.ə.bəl]
feminismus,feminism [ˈfem.ɪ.nɪ.zəm]
vada,flaw [flɔː]
benzín,gasoline [ˈɡæs.əl.iːn]
Genesis,genesis [ˈdʒen.ə.sɪs]
geografický,geographical [ˌdʒi.əˈɡræf.ɪ.kəl]
vládní,governmental [ˌɡʌv.əˈmen.təl]
vnuk,grandson [ˈɡræn.sʌn]
neúplný,incomplete [ˌɪn.kəmˈpliːt]
přerušit,interrupt [ˌɪn.təˈrʌpt]
slonová kost,ivory [ˈaɪ.vər.i]
kostel,kirk [kɜːk]
zdlouhavý,lengthy [ˈleŋ.θi]
Levy,levy [ˈlev.i]
manipulace,manipulation [məˌnɪp.jəˈleɪ.ʃən]
falešný,mock [mɒk]
náhrdelník,necklace [ˈnek.ləs]
výklenek,niche [niːʃ]
obskurní,obscure [əbˈskjʊər]
Para,para [ˈpær.ə]
veranda,porch [pɔːtʃ]
zobrazit,portray [pɔːˈtreɪ]
tvrzení,proposition [ˌprɒp.əˈzɪʃ.ən]
recese,recession [rɪˈseʃ.ən]
okraj,rim [rɪm]
za druhé,secondly [ˈsek.ənd.li]
