hřeben,comb [kəʊm]
zhoršit se,deteriorate [dɪˈtɪə.ri.ə.reɪt]
prodloužení,elongate [ˈiː.lɒŋ.ɡeɪt]
smalt,enamel [ɪˈnæm.əl]
vypudit,evict [ɪˈvɪkt]
mimořádně,exceedingly [ɪkˈsiː.dɪŋ.li]
nadměrně,excessively [ekˈses.ɪv.li]
divoce,fiercely [ˈfɪəs.li]
čtrnáctý,fourteenth [ˌfɔːˈtiːnθ]
genealogie,genealogy [ˌdʒiː.niˈæl.ə.dʒi]
geograficky,geographically [ˌdʒi.əˈɡræf.ɪ.kəl.i]
Goggle,goggle [ˈɡɒɡ.əl]
hráč golfu,golfer [ˈɡɒl.fər]
gramatický,grammatical [ɡrəˈmæt.ɪ.kəl]
grafit,graphite [ˈɡræf.aɪt]
pistole,handgun [ˈhænd.ɡʌn]
kacířství,heresy [ˈher.ə.si]
hostitelka,hostess [ˈhəʊ.stes]
Hud,hud [hʌd]
ledovec,iceberg [ˈaɪs.bɜːɡ]
zapálit,ignite [ɪɡˈnaɪt]
osvětlení,illumination [ɪˌluː.mɪˈneɪ.ʃən]
chudý,impoverish [ɪmˈpɒv.ər.ɪʃ]
nesprávně,improperly [ɪmˈprɒp.ə.li]
geniální,ingenious [ɪnˈdʒiː.ni.əs]
výslech,inquisition [ˌɪn.kwɪˈzɪʃ.ən]
píchnout,jab [dʒæb]
odlehčit,lighten [ˈlaɪ.tən]
kaštan,maroon [məˈruːn]
zdivo,masonry [ˈmeɪ.sən.ri]
mechanicky,mechanically [məˈkæn.ɪ.kəl.i]
muffin,muffin [ˈmʌf.ɪn]
negr,nigger [ˈnɪɡ.ər]
mastný,oily [ˈɔɪ.li]
zdánlivě,ostensibly [ɒsˈten.sə.bli]
převyšování,outnumber [ˌaʊtˈnʌm.bər]
otevřený,outspoken [ˌaʊtˈspəʊ.kən]
patro,palate [ˈpæl.ət]
palačinka,pancake [ˈpæn.keɪk]
dálnice,parkway [ˈpɑːk.weɪ]
podstavec,pedestal [ˈped.ə.stəl]
rodokmen,pedigree [ˈped.ɪ.ɡriː]
falešný,phony [ˈfoʊ.ni]
Překračování,pinpoint [ˈpɪn.pɔɪnt]
pip,pip [pɪp]
příjemně,pleasantly [ˈplez.ənt.li]
přemítat,ponder [ˈpɒn.dər]
statečnost,prowess [ˈpraʊ.es]
náhrada,reimbursement [ˌriː.ɪmˈbɜːs.mənt]
obnovit,reinstate [ˌriː.ɪnˈsteɪt]
litovat,repent [rɪˈpent]
Vraťte se,revert [rɪˈvɜːt]
sliny,saliva [səˈlaɪ.və]
nesmyslný,senseless [ˈsens.ləs]
sedmnáctý,seventeenth [ˌsev.ənˈtiːnθ]
zabit,slay [sleɪ]
shrnout,summarize [ˈsʌm.ər.aɪz]
tat,tat [tæt]
zdanitelný,taxable [ˈtæk.sə.bəl]
běžecký pás,treadmill [ˈtred.mɪl]
přepravování,trucking [ˈtrʌk.ɪŋ]
nevyhnutelný,unavoidable [ˌʌn.əˈvɔɪ.də.bəl]
jednostranný,unilateral [ˌjuː.nɪˈlæt.ər.əl]
vie,vie [vaɪ]
vosa,wasp [wɒsp]
vodní meloun,watermelon [ˈwɔː.təˌmel.ən]
na západ,westward [ˈwest.wəd]
kyselý,acidic [əˈsɪd.ɪk]
dodržování,adherence [ədˈhɪə.rəns]
přídavné jméno,adjective [ˈædʒ.ek.tɪv]
odložit,adjourn [əˈdʒɜːn]
amnézie,amnesia [æmˈniː.zi.ə]
zesilovat,amplify [ˈæm.plɪ.faɪ]
rozzlobeně,angrily [ˈæŋ.ɡrəl.i]
vzestup,ascension [əˈsen.ʃən]
aspirin,aspirin [ˈæs.prɪn]
sekera,ax [æks]
bard,bard [bɑːd]
vousatý,bearded [ˈbɪə.dɪd]
benevolentní,benevolent [bəˈnev.əl.ənt]
blejzr,blazer [ˈbleɪ.zər]
bažina,bog [bɒɡ]
bombardování,bombardment [bɒmˈbɑːd.mənt]
hranice,borderline [ˈbɔː.də.laɪn]
bungalov,bungalow [ˈbʌŋ.ɡəl.əʊ]
zloděj,burglar [ˈbɜː.ɡlər]
kalibrace,calibration [ˌkæl.ɪˈbreɪ.ʃən]
kapitalizovat,capitalize [ˈkæp.ɪ.təl.aɪz]
charisma,charisma [kəˈrɪz.mə]
poznání,cognition [kɒɡˈnɪʃ.ən]
drobenka,crumb [krʌm]
Cylindrical,cylindrical [sɪˈlɪn.drɪ.kəl]
klamný,deceptive [dɪˈsep.tɪv]
devastace,devastation [ˌdev.əˈsteɪ.ʃən]
zbožný,devout [dɪˈvaʊt]
nepřiměřený,disproportionate [ˌdɪs.prəˈpɔː.ʃən.ət]
Divisivista,divisive [dɪˈvaɪ.sɪv]
eben,ebony [ˈeb.ən.i]
ztělesnit,embody [ɪmˈbɒd.i]
vyšívat,embroider [ɪmˈbrɔɪ.dər]
embryo,embryo [ˈem.bri.əʊ]
nevyzpytatelný,erratic [ɪˈræt.ɪk]
tesák,fang [fæŋ]
Fiesta,fiesta [fiˈes.tə]
pošetilost,folly [ˈfɒl.i]
předvídatelné,foreseeable [fɔːˈsiː.ə.bəl]
glazura,glaze [ɡleɪz]
tvrdé dřevo,hardwood [ˈhɑːd.wʊd]
výsost,highness [ˈhaɪ.nəs]
zpětný pohled,hindsight [ˈhaɪnd.saɪt]
závěs,hinge [hɪndʒ]
lhostejnost,indifference [ɪnˈdɪf.ər.əns]
nepostradatelné,indispensable [ˌɪn.dɪˈspen.sə.bəl]
ošetřovna,infirmary [ɪnˈfɜː.mər.i]
inhibovat,inhibit [ɪnˈhɪb.ɪt]
šíleně,insanely [ɪnˈseɪn.li]
intelektuálně,intellectually [ˌɪn.təlˈek.tʃu.ə.li]
mezihvězdný,interstellar [ˌɪn.təˈstel.ər]
nedobrovolné,involuntary [ɪnˈvɒl.ən.tər.i]
vydání,issuance [ˈɪʃ.u.əns]
svědivý,itchy [ˈɪtʃ.i]
Západka,latch [lætʃ]
urážku na cti,libel [ˈlaɪ.bəl]
vaz,ligament [ˈlɪɡ.ə.mənt]
podoba,likeness [ˈlaɪk.nəs]
vznešený,lofty [ˈlɒf.ti]
tkalcovský stav,loom [luːm]
směšné,ludicrous [ˈluː.dɪ.krəs]
kukuřice,maize [meɪz]
zlomyslnost,malice [ˈmæl.ɪs]
marginalizace,marginalize [ˈmɑː.dʒɪ.nəl.aɪz]
frézování,milling [ˈmɪl.ɪŋ]
originalita,originality [əˌrɪdʒ.ənˈæl.ə.ti]
žluva,oriole [ˈɔː.ri.əʊl]
ornamentální,ornamental [ˌɔː.nəˈmen.təl]
oblázek,pebble [ˈpeb.əl]
vytrvalost,perseverance [ˌpɜː.sɪˈvɪə.rəns]
farmaceut,pharmacist [ˈfɑː.mə.sɪst]
Vybíravý,picky [ˈpɪk.i]
lid,populace [ˈpɒp.jə.ləs]
prima,prima [ˌpriː.mə ˈdɒn.ə.ɪʃ]
propagace,propagation [ˌprɒp.əˈɡeɪ.ʃən]
tišší,quieter [ˈkwaɪ.ət]
chladič,radiator [ˈreɪ.di.eɪ.tər]
randomize,randomize [ˈræn.də.maɪz]
rektor,rector [ˈrek.tər]
královský,regal [ˈriː.ɡəl]
relativita,relativity [ˌrel.əˈtɪv.ə.ti]
ctít,revere [rɪˈvɪər]
výsměch,ridicule [ˈrɪd.ɪ.kjuːl]
pečení,roasting [ˈrəʊ.stɪŋ]
rocker,rocker [ˈrɒk.ər]
sochař,sculptor [ˈskʌlp.tər]
semifinále,semifinal [ˌsem.iˈfaɪ.nəl]
lesk,sheen [ʃiːn]
upřímnost,sincerity [sɪnˈser.ə.ti]
hříšný,sinful [ˈsɪn.fəl]
pomlouvat,slander [ˈslɑːn.dər]
elegantní,sleek [sliːk]
zabit,slew [sluː]
Sling,sling [slɪŋ]
spontánně,spontaneously [spɒnˈteɪ.ni.əs.li]
jeseter,sturgeon [ˈstɜː.dʒən]
Předvolání,subpoena [səˈpiː.nə]
Sylabus,syllabus [ˈsɪl.ə.bəs]
textový,textual [ˈteks.tʃu.əl]
ropucha,toad [təʊd]
Neovšem,unaffected [ˌʌn.əˈfek.tɪd]
nepopiratelný,undeniable [ˌʌn.dɪˈnaɪ.ə.bəl]
Upstate,upstate [ˈʌp.steɪt]
ostražití,vigilant [ˈvɪdʒ.əl.ənt]
prohlídka,visitation [ˌvɪz.ɪˈteɪ.ʃən]
Viva,viva [ˈvaɪ.və]
podložka,washer [ˈwɒʃ.ər]
knot,wick [wɪk]
světské,worldly [ˈwɜːld.li]
přísada,additive [ˈæd.ɪ.tɪv]
Adept,adept [əˈdept]
výhodný,advantageous [ˌæd.vənˈteɪ.dʒəs]
na vodě,afloat [əˈfləʊt]
Agility,agility [əˈdʒɪl.ə.ti]
Anon,anon [əˈnɒn]
ante,ante [ˈæn.ti]
souostroví,archipelago [ˌɑː.kɪˈpel.ə.ɡəʊ]
kvetoucí,blooming [ˈbluː.mɪŋ]
táborák,bonfire [ˈbɒn.faɪər]
psí,canine [ˈkeɪ.naɪn]
řezbář,carver [ˈkɑː.vər]
kauzální,causal [ˈkɔː.zəl]
centrálně,centrally [ˈsen.trə.li]
roztleskávačka,cheerleader [ˈtʃɪəˌliː.dər]
Circling,circling [ˈsɜː.kəl]
citadela,citadel [ˈsɪt.ə.del]
kolonialismus,colonialism [kəˈləʊ.ni.ə.lɪ.zəm]
kompromis,compromising [ˈkɒm.prə.maɪ.zɪŋ]
palubní deska,dashboard [ˈdæʃ.bɔːd]
nedostatečný,deficient [dɪˈfɪʃ.ənt]
degenerovat,degenerate [dɪˈdʒen.ə.reɪt]
démonický,demonic [dɪˈmɒn.ɪk]
odstrašující prostředek,deterrent [dɪˈter.ənt]
pohrdání,disdain [dɪsˈdeɪn]
hanebný,disgraceful [dɪsˈɡreɪs.fəl]
psí,doggy [ˈdɒɡ.i]
Dole,dole [dəʊl]
Dun,dun [dʌn]
děsivý,eerie [ˈɪə.ri]
erodovat,erode [ɪˈrəʊd]
výlet,excursion [ɪkˈskɜː.ʃən]
exponenciální,exponential [ˌek.spəˈnen.ʃəl]
fraška,farce [fɑːs]
smrtelně,fatally [ˈfeɪ.təl.i]
zběsilé,frantic [ˈfræn.tɪk]
fondán,fudge [fʌdʒ]
klouzat,glide [ɡlaɪd]
špína,grime [ɡraɪm]
hrubě,grossly [ˈɡrəʊs.li]
zášť,grudge [ɡrʌdʒ]
harmonický,harmonic [hɑːˈmɒn.ɪk]
bezcitný,heartless [ˈhɑːt.ləs]
hektický,hectic [ˈhek.tɪk]
hormonální,hormonal [hɔːˈməʊ.nəl]
informátor,informant [ɪnˈfɔː.mənt]
rušivé,intrusive [ɪnˈtruː.sɪv]
vyvolat,invoke [ɪnˈvəʊk]
blbec,jackass [ˈdʒæk.æs]
leták,leaflet [ˈliː.flət]
lux,lux [lʌks]
žezlo,mace [meɪs]
zhoubný,malignant [məˈlɪɡ.nənt]
hříva,mane [meɪn]
řasenka,mascara [mæsˈkɑː.rə]
Maverick,maverick [ˈmæv.ər.ɪk]
opravit,mend [mend]
migréna,migraine [ˈmiː.ɡreɪn]
Mitt,mitt [mɪt]
roztavený,molten [ˈməʊl.tən]
monzun,monsoon [mɒnˈsuːn]
montáž,montage [ˈmɒn.tɑːʒ]
nedbalý,negligent [ˈneɡ.lɪ.dʒənt]
nula,nil [nɪl]
vášnivě,passionately [ˈpæʃ.ən.ət.li]
přesvědčení,persuasion [pəˈsweɪ.ʒən]
přehoz,plaid [plæd]
Přehrávání,playback [ˈpleɪ.bæk]
plyš,plush [plʌʃ]
pozitivita,positivity [ˌpɒz.əˈtɪv.ə.ti]
přednost,precedence [ˈpres.ɪ.dəns]
nedotčený,pristine [ˈprɪs.tiːn]
prognóza,prognosis [prɒɡˈnəʊ.sɪs]
vrtule,propeller [prəˈpel.ər]
raketa,racket [ˈræk.ɪt]
realisticky,realistically [ˌrɪəˈlɪs.tɪ.kəl.i]
reorganizace,reorganization [riːˌɔː.ɡən.aɪˈzeɪ.ʃən]
vyhledávání,retrieval [rɪˈtriː.vəl]
kolotoč,roundabout [ˈraʊnd.ə.baʊt]
solný,saline [ˈseɪ.laɪn]
sotva,scarcely [ˈskeəs.li]
Budování lodí,shipbuilding [ˈʃɪpˌbɪl.dɪŋ]
Pokrst rameny,shrug [ʃrʌɡ]
zakouřený,smoky [ˈsməʊ.ki]
rýč,spade [speɪd]
mírný,temperate [ˈtem.pər.ət]
tematický,thematic [θɪˈmæt.ɪk]
trojice,threesome [ˈθriː.səm]
bouřka,thunderstorm [ˈθʌn.də.stɔːm]
Toater,toaster [ˈtəʊ.stər]
ztrojnásobit,treble [ˈtreb.əl]
tyrkysový,turquoise [ˈtɜː.kwɔɪz]
ultrafialový,ultraviolet [ˌʌl.trəˈvaɪə.lət]
objektivní,unbiased [ʌnˈbaɪəst]
nevděčný,ungrateful [ʌnˈɡreɪt.fəl]
neléčené,untreated [ʌnˈtriː.tɪd]
účelnost,usefulness [ˈjuːs.fəl.nəs]
vandalství,vandalism [ˈvæn.dəl.ɪ.zəm]
vibrovat,vibrate [vaɪˈbreɪt]
samohláska,vowel [vaʊəl]
Voyager,voyager [ˈvɔɪ.ɪ.dʒər]
svar,weld [weld]
vlkodlak,werewolf [ˈwɪə.wʊlf]
Nesprávné,wrongful [ˈrɒŋ.fəl]
aligátor,alligator [ˈæl.ɪ.ɡeɪ.tər]
antagonista,antagonist [ænˈtæɡ.ən.ɪst]
přiblížení,approximation [əˌprɒk.sɪˈmeɪ.ʃən]
aromatický,aromatic [ˌær.əˈmæt.ɪk]
barokní,baroque [bəˈrɒk]
pořadač,binder [ˈbaɪn.dər]
slepě,blindly [ˈblaɪnd.li]
briga,brig [brɪɡ]
Buggy,buggy [ˈbʌɡ.i]
kanonický,canonical [kəˈnɒn.ɪ.kəl]
opatrně,cautiously [ˈkɔː.ʃəs.li]
celer,celery [ˈsel.ər.i]
spolupracovník,collaborator [kəˈlæb.ə.reɪ.tər]
křeč,cramp [kræmp]
Cutie,cutie [ˈkjuː.ti]
Dab,dab [dæb]
Dar,dar [ˌdɑː res səˈlɑːm]
nespokojenost,dissatisfaction [dɪsˌsæt.ɪsˈfæk.ʃən]
riskantní,dodgy [ˈdɒdʒ.i]
pozemský,earthly [ˈɜːθ.li]
volitelný,elective [iˈlek.tɪv]
vysílat,emit [iˈmɪt]
zotročit,enslave [ɪnˈsleɪv]
Ethos,ethos [ˈiː.θɒs]
očitý svědek,eyewitness [ˈaɪˌwɪt.nəs]
teplouš,fag [fæɡ]
prchavý,fleeting [ˈfliː.tɪŋ]
propadnutí,forfeit [ˈfɔː.fɪt]
slévárna,foundry [ˈfaʊn.dri]
žirafa,giraffe [dʒɪˈrɑːf]
mlýnek,grinder [ˈɡraɪn.dər]
střelec,gunman [ˈɡʌn.mən]
dárkový koš,hamper [ˈhæm.pər]
léčitel,healer [ˈhiː.lər]
střevní,intestinal [ˌɪnˈtes.tɪn.əl]
Jock,jock [dʒɒk]
manický,manic [ˈmæn.ɪk]
potrubí,manifold [ˈmæn.ɪ.fəʊld]
měřitelný,measurable [ˈmeʒ.ər.ə.bəl]
Meek,meek [miːk]
měkký,mellow [ˈmel.əʊ]
meloun,melon [ˈmel.ən]
potrat,miscarriage [ˈmɪsˌkær.ɪdʒ]
vyprávění,narration [nəˈreɪ.ʃən]
NIP,nip [nɪp]
zapomenutí,oblivion [əˈblɪv.i.ən]
ambulantní,outpatient [ˈaʊt.peɪ.ʃənt]
brožura,pamphlet [ˈpæm.flət]
zahynout,perish [ˈper.ɪʃ]
filantropie,philanthropy [fɪˈlæn.θrə.pi]
znečištěno,polluted [pəˈluː.tɪd]
lektvar,potion [ˈpəʊ.ʃən]
připravenost,preparedness [prɪˈpeəd.nəs]
Primal,primal [ˈpraɪ.məl]
quid,quid [kwɪd]
vnímavý,receptive [rɪˈsep.tɪv]
Redundance,redundancy [rɪˈdʌn.dən.si]
sob,reindeer [ˈreɪn.dɪər]
relaps,relapse [rɪˈlæps]
záliba,relish [ˈrel.ɪʃ]
Rendezvous,rendezvous [ˈrɒn.deɪ.vuː]
reverzibilní,reversible [rɪˈvɜː.sə.bəl]
hlodavec,rodent [ˈrəʊ.dənt]
jeřáb,rowan [ˈrəʊ.ən]
selektivně,selectively [sɪˈlek.tɪv.li]
vedlejší linka,sideline [ˈsaɪd.laɪn]
zjednodušující,simplistic [sɪmˈplɪs.tɪk]
dozorčí,supervisory [ˌsuː.pəˈvaɪ.zər.i]
slabika,syllable [ˈsɪl.ə.bəl]
synod,synod [ˈsɪn.əd]
zrádný,treacherous [ˈtretʃ.ər.əs]
nevýslovný,untold [ʌnˈtəʊld]
povznášející,uplifting [ʌpˈlɪf.tɪŋ]
očkovat,vaccinate [ˈvæk.sɪ.neɪt]
všestrannost,versatility [ˌvɜː.səˈtɪl.ə.ti]
vizualizace,visualization [ˌvɪʒ.u.əl.aɪˈzeɪ.ʃən]
volt,volt [vɒlt]
ovládat,wield [wiːld]
abnormalita,abnormality [ˌæb.nɔːˈmæl.ə.ti]
přiřaditelné,attributable [əˈtrɪb.jə.tə.bəl]
ozub,barb [bɑːb]
bašta,bastion [ˈbæs.ti.ən]
posílení,bolster [ˈbəʊl.stər]
hýkání,bray [breɪ]
kategorizovat,categorize [ˈkæt.ə.ɡər.aɪz]
vrtulník,chopper [ˈtʃɒp.ər]
tlustý,chunky [ˈtʃʌŋ.ki]
soudržný,cohesive [kəʊˈhiː.sɪv]
komando,commando [kəˈmɑːn.dəʊ]
vítězící,conquering [ˈkɒŋ.kər]
svárlivý,contentious [kənˈten.ʃəs]
útulný,cosy [ˈkəʊ.zi]
Zhroucení,crease [kriːs]
dehydratace,dehydration [ˌdiː.haɪˈdreɪ.ʃən]
označení,denomination [dɪˌnɒm.ɪˈneɪ.ʃən]
trávení,digestion [daɪˈdʒes.tʃən]
demontovat,dismantle [dɪˈsmæn.təl]
nespokojený,dissatisfied [ˌdɪsˈsæt.ɪs.faɪd]
embargo,embargo [ɪmˈbɑː.ɡəʊ]
ztělesnění,embodiment [ɪmˈbɒd.i.mənt]
rytina,engraving [ɪnˈɡreɪ.vɪŋ]
Entrench,entrench [ɪnˈtrentʃ]
vysvětlující,explanatory [ɪkˈsplæn.ə.tər.i]
extremismus,extremism [ɪkˈstriː.mɪ.zəm]
filtrace,filtration [fɪlˈtreɪ.ʃən]
dokončit,finalize [ˈfaɪ.nəl.aɪz]
Fungal,fungal [ˈfʌŋ.ɡəl]
temnota,gloom [ɡluːm]
šotek,goblin [ˈɡɒb.lɪn]
Gunner,gunner [ˈɡʌn.ər]
křeček,hamster [ˈhæm.stər]
pokrytecký,hypocritical [ˌhɪp.əˈkrɪt.ɪ.kəl]
proslulý,illustrious [ɪˈlʌs.tri.əs]
vedlejší,incidental [ˌɪn.sɪˈden.təl]
indigo,indigo [ˈɪn.dɪ.ɡəʊ]
vzpoura,insurgency [ɪnˈsɜː.dʒən.si]
nepravidelnost,irregularity [ɪˌreɡ.jəˈlær.ə.ti]
labyrint,labyrinth [ˈlæb.ə.rɪnθ]
předpeklí,limbo [ˈlɪm.bəʊ]
mizerný,lousy [ˈlaʊ.zi]
oběd,luncheon [ˈlʌn.tʃən]
poštovní schránka,mailbox [ˈmeɪl.bɒks]
Memorabilia,memorabilia [ˌmem.ər.əˈbɪl.i.ə]
živit,nurture [ˈnɜː.tʃər]
nevšímavý,oblivious [əˈblɪv.i.əs]
óda,ode [əʊd]
zjevný,overt [əʊˈvɜːt]
patriarcha,patriarch [ˈpeɪ.tri.ɑːk]
přístřešek,penthouse [ˈpent.haʊs]
křivá přísaha,perjury [ˈpɜː.dʒər.i]
zbožný,pious [ˈpaɪ.əs]
práškový,powdered [ˈpaʊ.dəd]
předčasně,prematurely [prem.əˈtʃʊə.li]
majitel,proprietor [prəˈpraɪə.tər]
hádka,quarrel [ˈkwɒr.əl]
sleva,rebate [ˈriː.beɪt]
obnova,resurgence [rɪˈsɜː.dʒəns]
kohout,rooster [ˈruː.stər]
bezproblémový,seamless [ˈsiːm.ləs]
nemocný,sicken [ˈsɪk.ən]
silueta,silhouette [ˌsɪl.uˈet]
slimák,slug [slʌɡ]
samolibý,smug [smʌɡ]
soprán,soprano [səˈprɑː.nəʊ]
stagnující,stagnant [ˈstæɡ.nənt]
šlacha,tendon [ˈten.dən]
Tvoje,thine [ðaɪn]
houževnatost,toughness [ˈtʌf.nəs]
nezodpovězený,unanswered [ʌnˈɑːn.səd]
neetické,unethical [ˌʌnˈeθ.ɪ.kəl]
Uptown,uptown [ˌʌpˈtaʊn]
moč,urinary [ˈjʊə.rɪ.nər.i]
statečný,valiant [ˈvæl.i.ənt]
Vigilante,vigilante [ˌvɪdʒ.ɪˈlæn.ti]
zmije,viper [ˈvaɪ.pər]
všední den,weekday [ˈwiːk.deɪ]
abstrakce,abstraction [æbˈstræk.ʃən]
doplněk,adjunct [ˈædʒ.ʌŋkt]
pozorný,attentive [əˈten.tɪv]
tetička,auntie [ˈɑːn.ti]
barbar,barbarian [bɑːˈbeə.ri.ən]
zobák,beak [biːk]
béžový,beige [beɪʒ]
borůvka,blueberry [ˈbluːˌbər.i]
kanec,boar [bɔːr]
rozšířit,broaden [ˈbrɔː.dən]
objemný,bulky [ˈbʌl.ki]
kameraman,cameraman [ˈkæm.rə.mæn]
uhlohydrát,carbohydrate [ˌkɑː.bəʊˈhaɪ.dreɪt]
krveprolití,carnage [ˈkɑː.nɪdʒ]
zámek,chateau [ˈʃæt.əʊ]
chválit,commend [kəˈmend]
komuna,commune [ˈkɒm.juːn]
přesvědčivé,conclusive [kənˈkluː.sɪv]
konzervatoř,conservatory [kənˈsɜː.və.tər.i]
ohleduplný,considerate [kənˈsɪd.ər.ət]
vrkat,coo [kuː]
kultivovaný,cultured [ˈkʌl.tʃəd]
depresivní,depressive [dɪˈpres.ɪv]
neúměrně,disproportionately [ˌdɪs.prəˈpɔː.ʃən.ət.li]
smirek,emery [ˈem.ər.i]
účastník,entrant [ˈen.trənt]
pochmurný,errand [ˈer.ənd]
přehánění,exaggeration [ɪɡˌzædʒ.əˈreɪ.ʃən]
vyčerpávající,exhaustive [ɪɡˈzɔː.stɪv]
exponenciálně,exponentially [ˌek.spəˈnen.ʃəl.i]
vývozce,exporter [ɪkˈspɔː.tər]
navenek,externally [ɪkˈstɜː.nəl.i]
kvašení,fermentation [ˌfɜː.menˈteɪ.ʃən]
fiasko,fiasco [fiˈæs.kəʊ]
patnáctý,fifteenth [ˌfɪfˈtiːnθ]
zděšení,fright [fraɪt]
plodný,fruitful [ˈfruːt.fəl]
žluč,gall [ɡɔːl]
žaludeční,gastric [ˈɡæs.trɪk]
spěšně,hastily [ˈheɪ.stəl.i]
horizontálně,horizontally [ˌhɒr.ɪˈzɒn.təl.i]
škodlivé,hurtful [ˈhɜːt.fəl]
nepřístupný,inaccessible [ˌɪn.əkˈses.ə.bəl]
peklo,inferno [ɪnˈfɜː.nəʊ]
džbán,jug [dʒʌɡ]
listová,leafy [ˈliː.fi]
lalok,lobe [ləʊb]
loo,loo [luː]
vynechání,omission [əʊˈmɪʃ.ən]
orchidej,orchid [ˈɔː.kɪd]
předjet,overtake [ˌəʊ.vəˈteɪk]
rašelina,peat [piːt]
obvod,periphery [pəˈrɪf.ər.i]
předehra,prelude [ˈprel.juːd]
předplatit,prepay [ˌpriːˈpeɪ]
kněžství,priesthood [ˈpriːst.hʊd]
trest,punishable [ˈpʌn.ɪ.ʃə.bəl]
žací stroj,reaper [ˈriː.pər]
satanský,satanic [səˈtæn.ɪk]
vonné,scented [ˈsen.tɪd]
skleróza,sclerosis [skləˈrəʊ.sɪs]
nesobecký,selfless [ˈself.ləs]
klid,serenity [səˈren.ə.ti]
stínování,shading [ʃeɪd]
Pozorování,sighting [ˈsaɪ.tɪŋ]
sonar,sonar [ˈsəʊ.nɑːr]
plivat,spat [spæt]
stabilizace,stabilization [ˌsteɪ.bəl.aɪˈzeɪ.ʃən]
škrob,starch [stɑːtʃ]
kamenný,stony [ˈstəʊ.ni]
jemně,subtly [ˈsʌt.əl.i]
Surfer,surfer [ˈsɜː.fər]
Taj,taj [ˌtɑːdʒ məˈhɑːl]
kužel,taper [ˈteɪ.pər]
čajová lžička,teaspoon [ˈtiː.spuːn]
překlep,typo [ˈtaɪ.pəʊ]
nerovnoměrné,unequal [ʌnˈiː.kwəl]
nevyřešeno,unresolved [ˌʌn.rɪˈzɒlvd]
nespecifikován,unspecified [ʌnˈspes.ɪ.faɪd]
vyklidit,vacate [vəˈkeɪt]
vafle,waffle [ˈwɒf.əl]
válečná loď,warship [ˈwɔː.ʃɪp]
Vinařství,winery [ˈwaɪ.nər.i]
soudní příkaz,writ [rɪt]
zip,zipper [ˈzɪp.ər]
protivník,adversary [ˈæd.və.sər.i]
postihnout,afflict [əˈflɪkt]
Letiště,airfield [ˈeə.fiːld]
odcizit,alienate [ˈeɪ.li.ə.neɪt]
zjistit,ascertain [ˌæs.əˈteɪn]
uvěřitelný,believable [bɪˈliː.və.bəl]
hořce,bitterly [ˈbɪt.ə.li]
doupě,burrow [ˈbʌr.əʊ]
Cairn,cairn [keən]
cello,cello [ˈtʃel.əʊ]
Chariot,chariot [ˈtʃær.i.ət]
cholera,cholera [ˈkɒl.ər.ə]
skoba,clinch [klɪntʃ]
srážka,collide [kəˈlaɪd]
nutkavé,compulsive [kəmˈpʌl.sɪv]
kongenitální,congenital [kənˈdʒen.ɪ.təl]
vykládat,construe [kənˈstruː]
konzulární,consular [ˈkɒn.sjə.lər]
nápravné,corrective [kəˈrek.tɪv]
Drob,crumble [ˈkrʌm.bəl]
klátit,dangle [ˈdæŋ.ɡəl]
opovážlivec,daredevil [ˈdeəˌdev.əl]
decentralizovat,decentralize [ˌdiːˈsen.trə.laɪz]
rozpor,discrepancy [dɪˈskrep.ən.si]
Myčka nádobí,dishwasher [ˈdɪʃˌwɒʃ.ər]
čmáranice,doodle [ˈduː.dəl]
dokumentace,dossier [ˈdɒs.i.eɪ]
obchodník s textilem,draper [ˈdreɪ.pər]
vymýtit,eradicate [ɪˈræd.ɪ.keɪt]
vydírání,extortion [ɪkˈstɔː.ʃən]
divoký,feral [ˈfer.əl]
velkoryse,generously [ˈdʒen.ər.əs.li]
hangár,hangar [ˈhæŋ.ər]
unáhlený,hasty [ˈheɪ.sti]
hospodyně,housekeeper [ˈhaʊsˌkiː.pər]
chraplavý,husky [ˈhʌs.ki]
napodobit,imitate [ˈɪm.ɪ.teɪt]
nedokonalost,imperfection [ˌɪm.pəˈfek.ʃən]
nepravděpodobný,improbable [ɪmˈprɒb.ə.bəl]
uvěznit,incarcerate [ɪnˈkɑː.sər.eɪt]
nezpůsobilé,ineligible [ɪˈnel.ɪ.dʒə.bəl]
infuze,infusion [ɪnˈfjuː.ʒən]
žurnalistika,journalistic [ˌdʒɜː.nəˈlɪs.tɪk]
lordstvo,lordship [ˈlɔːd.ʃɪp]
mahagon,mahogany [məˈhɒɡ.ən.i]
porucha,malfunction [ˌmælˈfʌŋk.ʃən]
výrazně,markedly [ˈmɑː.kɪd.li]
prostředník,mediator [ˈmiː.di.eɪ.tər]
oblíbenec,minion [ˈmɪn.jən]
Mirage,mirage [mɪˈrɑːʒ]
výsměch,mockery [ˈmɒk.ər.i]
modulace,modulation [ˌmɒdʒ.əˈleɪ.ʃən]
motorista,motorist [ˈməʊ.tər.ɪst]
vyprávět,narrate [nəˈreɪt]
navigátor,navigator [ˈnæv.ɪ.ɡeɪ.tər]
slavík,nightingale [ˈnaɪ.tɪŋ.ɡeɪl]
Nuke,nuke [njuːk]
okultní,occult [əˈkʌlt]
kolmý,perpendicular [ˌpɜː.pənˈdɪk.jə.lər]
postava,physique [fɪˈziːk]
znečišťující látka,pollutant [pəˈluː.tənt]
