hřeben,comb [koʊm]
zástěra,apron [ˈeɪ.prən]
archaický,archaic [ɑːrˈkeɪ.ɪk]
přiřazení,attribution [ˌæt.rəˈbjuː.ʃən]
přepážka,baffle [ˈbæf.əl]
biochemie,biochemistry [ˌbaɪ.oʊˈkem.ə.stri]
bop,bop [bɑːp]
Burr,burr [bɝː]
kavalír,cavalier [ˌkæv.əlˈɪr]
Centennial,centennial [senˈten.i.əl]
lpět,cling [klɪŋ]
jetel,clover [ˈkloʊ.vɚ]
povlak,coating [ˈkoʊ.t̬ɪŋ]
kolonizace,colonization [ˌkɑː.lə.nəˈzeɪ.ʃən]
kuchařka,cookbook [ˈkʊk.bʊk]
kosmopolitní,cosmopolitan [ˌkɑːz.məˈpɑː.lɪ.t̬ən]
kojot,coyote [kaɪˈoʊ.t̬i]
úhlopříčka,diagonal [daɪˈæɡ.ən.əl]
diskreditovat,discredit [dɪˈskred.ɪt]
prádelník,dresser [ˈdres.ɚ]
Duff,duff [dʌf]
jilm,elm [elm]
spravedlivý,equitable [ˈek.wɪ.t̬ə.bəl]
vyvíjet,exert [ɪɡˈzɝːt]
štěstí,felicity [fəˈlɪs.ə.t̬i]
feudální,feudal [ˈfjuː.dəl]
zploštět,flatten [ˈflæt̬.ən]
Fleece,fleece [fliːs]
krmivo,fodder [ˈfɑː.dɚ]
Huml,fumble [ˈfʌm.bəl]
chichotat se,giggle [ˈɡɪɡ.əl]
git,git [ɡɪt]
Slach,glare [ɡler]
gurmán,gourmet [ˈɡʊr.meɪ]
Handshake,handshake [ˈhænd.ʃeɪk]
statný,hefty [ˈhef.ti]
bylinný,herbal [ˈɝː.bəl]
hrb,hump [hʌmp]
idiotský,idiotic [ˌɪd.iˈɑː.t̬ɪk]
i,i [aɪ]
uvěznění,incarceration [ɪnˌkɑːr.səˈreɪ.ʃən]
incest,incest [ˈɪn.sest]
vložení,insertion [ɪnˈsɝː.ʃən]
přerušení,interruption [ˌɪn.t̬əˈrʌp.ʃən]
svědění,itch [ɪtʃ]
mříže,lattice [ˈlæt̬.ɪs]
legitimně,legitimately [ləˈdʒɪt̬.ə.mət.li]
obchodník,marketer [ˈmɑːr.kə.t̬ɚ]
Mastermind,mastermind [ˈmæs.tɚ.maɪnd]
materiálně,materially [məˈtɪr.i.ə.li]
neplechu,mischief [ˈmɪs.tʃɪf]
modernizace,modernization [ˌmɑː.dɚ.nəˈzeɪ.ʃən]
nápadně,noticeably [ˈnoʊ.t̬ɪ.sə.bli]
obsazenost,occupancy [ˈɑː.kjə.pən.si]
obsadit,overrun [ˌoʊ.vɚˈrʌn]
pastvina,pasture [ˈpæs.tʃɚ]
patologické,pathological [ˌpæθ.əˈlɑː.dʒɪ.kəl]
relevantní,pertinent [ˈpɝː.tən.ənt]
hojný,plentiful [ˈplen.t̬ɪ.fəl]
instalatér,plumber [ˈplʌm.ɚ]
kupující,purchaser [ˈpɝː.tʃə.sɚ]
rarita,rarity [ˈrer.ə.t̬i]
vzpurný,rebellious [rɪˈbel.i.əs]
smyslný,sensual [ˈsen.ʃu.əl]
propad,slump [slʌmp]
změkčit,soften [ˈsɑː.fən]
suvenýr,souvenir [ˌsuː.vəˈnɪr]
řídká,sparse [spɑːrs]
parník,steamer [ˈstiː.mɚ]
dotová,subsidize [ˈsʌb.sə.daɪz]
sání,suction [ˈsʌk.ʃən]
slunečnice,sunflower [ˈsʌnˌflaʊ.ɚ]
doplňkový,supplementary [ˌsʌp.ləˈmen.t̬ɚ.i]
zeměměřič,surveyor [sɚˈveɪ.ɚ]
temperament,temperament [ˈtem.pɚ.ə.mənt]
třináctý,thirteenth [θɝːˈtiːnθ]
Topless,topless [ˈtɑːp.ləs]
trápení,torment [ˈtɔːr.ment]
tyran,tyrant [ˈtaɪ.rənt]
neatraktivní,unattractive [ˌʌn.əˈtræk.tɪv]
neporažený,unbeaten [ʌnˈbiː.tən]
podhodnocení,understatement [ˌʌn.dɚˈsteɪt.mənt]
nežádoucí,undesirable [ˌʌn.dɪˈzaɪr.ə.bəl]
nespravedlivě,unfairly [ʌnˈfer.li]
unifikace,unification [ˌjuː.nə.fəˈkeɪ.ʃən]
zbraně,weaponry [ˈwep.ən.ri]
blesk,wildfire [ˈwaɪld.faɪr]
zadržet,withhold [wɪðˈhoʊld]
věnec,wreath [riːθ]
dále,afar [əˈfɑːr]
láskyplný,affectionate [əˈfek.ʃən.ət]
anuita,annuity [əˈnjuː.ə.t̬i]
vzbudit,arouse [əˈraʊz]
ověřování,authentication [ɑːˌθen.t̬əˈkeɪ.ʃən]
Probuzení,awaken [əˈweɪ.kən]
blankyt,azure [ˈæʒ.ɚ]
lůžko,bedside [ˈbed.saɪd]
obléhat,besiege [bɪˈsiːdʒ]
biolog,biologist [baɪˈɑː.lə.dʒɪst]
Bonnet,bonnet [ˈbɑː.nɪt]
chovatel,breeder [ˈbriː.dɚ]
kadet,cadet [kəˈdet]
sumec,catfish [ˈkæt.fɪʃ]
duchovní,clerical [ˈkler.ɪ.kəl]
koláž,collage [ˈkɑː.lɑːʒ]
kolonista,colonist [ˈkɑː.lə.nist]
bezplatné,complimentary [ˌkɑːm.pləˈmen.t̬ɚ.i]
výpočet,computation [ˌkɑːm.pjəˈteɪ.ʃən]
dohad,conjecture [kənˈdʒek.tʃɚ]
nápadný,conspicuous [kənˈspɪk.ju.əs]
nepřetržité,continual [kənˈtɪn.ju.əl]
protichůdný,contradict [ˌkɑːn.trəˈdɪkt]
zákrok,crackdown [ˈkræk.daʊn]
zhoršit se,deteriorate [dɪˈtɪr.i.ə.reɪt]
prodloužení,elongate [ɪˈlɑːŋ.ɡeɪt]
smalt,enamel [ɪˈnæm.əl]
vypudit,evict [ɪˈvɪkt]
mimořádně,exceedingly [ɪkˈsiː.dɪŋ.li]
nadměrně,excessively [ekˈses.ɪv.li]
divoce,fiercely [ˈfɪrs.li]
čtrnáctý,fourteenth [ˌfɔːrˈtiːnθ]
genealogie,genealogy [ˌdʒiː.niˈæl.ə.dʒi]
geograficky,geographically [ˌdʒi.əˈɡræf.ɪ.kəl.i]
Goggle,goggle [ˈɡɑː.ɡəl]
hráč golfu,golfer [ˈɡɑːl.fɚ]
gramatický,grammatical [ɡrəˈmæt̬.ɪ.kəl]
grafit,graphite [ˈɡræf.aɪt]
pistole,handgun [ˈhænd.ɡʌn]
kacířství,heresy [ˈher.ə.si]
hostitelka,hostess [ˈhoʊ.stɪs]
Hud,hud [hʌd]
ledovec,iceberg [ˈaɪs.bɝːɡ]
zapálit,ignite [ɪɡˈnaɪt]
osvětlení,illumination [ɪˌluː.məˈneɪ.ʃən]
chudý,impoverish [ɪmˈpɑː.vɚ.ɪʃ]
nesprávně,improperly [ɪmˈprɑː.pɚ.li]
geniální,ingenious [ɪnˈdʒiː.ni.əs]
výslech,inquisition [ˌɪn.kwɪˈzɪʃ.ən]
píchnout,jab [dʒæb]
odlehčit,lighten [ˈlaɪ.tən]
kaštan,maroon [məˈruːn]
zdivo,masonry [ˈmeɪ.sən.ri]
mechanicky,mechanically [məˈkæn.ɪ.kəl.i]
muffin,muffin [ˈmʌf.ɪn]
negr,nigger [Výskyt nenalezen]
mastný,oily [ˈɔɪ.li]
zdánlivě,ostensibly [ɑːˈsten.sə.bli]
převyšování,outnumber [ˌaʊtˈnʌm.bɚ]
otevřený,outspoken [ˌaʊtˈspoʊ.kən]
patro,palate [ˈpæl.ət]
palačinka,pancake [ˈpæn.keɪk]
dálnice,parkway [ˈpɑːrk.weɪ]
podstavec,pedestal [ˈped.ə.stəl]
rodokmen,pedigree [ˈped.ə.ɡriː]
falešný,phony [ˈfoʊ.ni]
Překračování,pinpoint [ˈpɪn.pɔɪnt]
pip,pip [pɪp]
příjemně,pleasantly [ˈplez.ənt.li]
přemítat,ponder [ˈpɑːn.dɚ]
statečnost,prowess [ˈpraʊ.es]
náhrada,reimbursement [ˌriː.ɪmˈbɝːs.mənt]
obnovit,reinstate [ˌriː.ɪnˈsteɪt]
litovat,repent [rɪˈpent]
Vraťte se,revert [rɪˈvɝːt]
sliny,saliva [səˈlaɪ.və]
nesmyslný,senseless [ˈsens.ləs]
sedmnáctý,seventeenth [ˌsev.ənˈtiːnθ]
zabit,slay [sleɪ]
shrnout,summarize [ˈsʌm.ə.raɪz]
tat,tat [tæt]
zdanitelný,taxable [ˈtæk.sə.bəl]
běžecký pás,treadmill [ˈtred.mɪl]
přepravování,trucking [ˈtrʌk.ɪŋ]
nevyhnutelný,unavoidable [ˌʌn.əˈvɔɪ.də.bəl]
jednostranný,unilateral [ˌjuː.nəˈlæt̬.ɚ.əl]
vie,vie [vaɪ]
vosa,wasp [wɑːsp]
vodní meloun,watermelon [ˈwɑː.t̬ɚˌmel.ən]
na západ,westward [ˈwest.wɚd]
kyselý,acidic [əˈsɪd.ɪk]
dodržování,adherence [ədˈhɪr.əns]
přídavné jméno,adjective [ˈædʒ.ek.tɪv]
odložit,adjourn [əˈdʒɝːn]
amnézie,amnesia [æmˈniː.ʒə]
zesilovat,amplify [ˈæm.plə.faɪ]
rozzlobeně,angrily [ˈæŋ.ɡrəl.i]
vzestup,ascension [əˈsen.ʃən]
aspirin,aspirin [ˈæs.prɪn]
sekera,ax [æks]
bard,bard [bɑːrd]
vousatý,bearded [ˈbɪr.dɪd]
benevolentní,benevolent [bəˈnev.əl.ənt]
blejzr,blazer [ˈbleɪ.zɚ]
bažina,bog [bɑːɡ]
bombardování,bombardment [bɑːmˈbɑːrd.mənt]
hranice,borderline [ˈbɔːr.dɚ.laɪn]
bungalov,bungalow [ˈbʌŋ.ɡəl.oʊ]
zloděj,burglar [ˈbɝː.ɡlɚ]
kalibrace,calibration [ˌkæl.əˈbreɪ.ʃən]
kapitalizovat,capitalize [ˈkæp.ə.t̬əl.aɪz]
charisma,charisma [kəˈrɪz.mə]
poznání,cognition [kɑːɡ-]
drobenka,crumb [krʌm]
Cylindrical,cylindrical [sɪˈlɪn.drɪ.kəl]
klamný,deceptive [dɪˈsep.t̬ɪv]
devastace,devastation [ˌdev.əˈsteɪ.ʃən]
zbožný,devout [dɪˈvaʊt]
nepřiměřený,disproportionate [ˌdɪs.prəˈpɔːr.ʃən.ət]
Divisivista,divisive [dɪˈvaɪ.sɪv]
eben,ebony [ˈeb.ən.i]
ztělesnit,embody [ɪmˈbɑː.di]
vyšívat,embroider [ɪmˈbrɔɪ.dɚ]
embryo,embryo [ˈem.bri.oʊ]
nevyzpytatelný,erratic [ɪˈræt̬.ɪk]
tesák,fang [fæŋ]
Fiesta,fiesta [fiˈes.tə]
pošetilost,folly [ˈfɑː.li]
předvídatelné,foreseeable [fɔːrˈsiː.ə.bəl]
glazura,glaze [ɡleɪz]
tvrdé dřevo,hardwood [ˈhɑːrd.wʊd]
výsost,highness [ˈhaɪ.nəs]
zpětný pohled,hindsight [ˈhaɪnd.saɪt]
závěs,hinge [hɪndʒ]
lhostejnost,indifference [ɪnˈdɪf.ɚ.əns]
nepostradatelné,indispensable [ˌɪn.dɪˈspen.sə.bəl]
ošetřovna,infirmary [ɪnˈfɝː.mɚ.ri]
inhibovat,inhibit [ɪnˈhɪb.ɪt]
šíleně,insanely [ɪnˈseɪn.li]
intelektuálně,intellectually [ˌɪn.t̬əlˈek.tʃu.ə.li]
mezihvězdný,interstellar [ˌɪn.t̬ɚˈstel.ɚ]
nedobrovolné,involuntary [ɪnˈvɑː.lən.ter.i]
vydání,issuance [ˈɪʃ.u.əns]
svědivý,itchy [ˈɪtʃ.i]
Západka,latch [lætʃ]
urážku na cti,libel [ˈlaɪ.bəl]
vaz,ligament [ˈlɪɡ.ə.mənt]
podoba,likeness [ˈlaɪk.nəs]
vznešený,lofty [ˈlɑːf.ti]
tkalcovský stav,loom [luːm]
směšné,ludicrous [ˈluː.də.krəs]
kukuřice,maize [meɪz]
zlomyslnost,malice [ˈmæl.ɪs]
marginalizace,marginalize [ˈmɑːr.dʒɪ.nəl.aɪz]
frézování,milling [ˈmɪl.ɪŋ]
originalita,originality [əˌrɪdʒ.ənˈæl.ə.t̬i]
žluva,oriole [ˈɔːr.i.oʊl]
ornamentální,ornamental [ˌɔːr.nəˈmen.t̬əl]
oblázek,pebble [ˈpeb.əl]
vytrvalost,perseverance [ˌpɝː.səˈvɪr.əns]
farmaceut,pharmacist [ˈfɑːr.mə.sɪst]
Vybíravý,picky [ˈpɪk.i]
lid,populace [ˈpɑː.pjə.ləs]
prima,prima [ˌpriː.mə ˈdɑː.nə.ɪʃ]
propagace,propagation [ˌprɑː.pəˈɡeɪ.ʃən]
tišší,quieter [ˈkwaɪ.ət]
chladič,radiator [ˈreɪ.di.eɪ.t̬ɚ]
randomize,randomize [ˈræn.də.maɪz]
rektor,rector [ˈrek.tɚ]
královský,regal [ˈriː.ɡəl]
relativita,relativity [ˌrel.əˈtɪv.ə.t̬i]
ctít,revere [rɪˈvɪr]
výsměch,ridicule [ˈrɪd.ə.kjuːl]
pečení,roasting [ˈroʊ.stɪŋ]
rocker,rocker [ˈrɑː.kɚ]
sochař,sculptor [ˈskʌlp.tɚ]
semifinále,semifinal [ˌsem.iˈfaɪ.nəl]
lesk,sheen [ʃiːn]
upřímnost,sincerity [sɪnˈser.ə.t̬i]
hříšný,sinful [ˈsɪn.fəl]
pomlouvat,slander [ˈslæn.dɚ]
elegantní,sleek [sliːk]
zabit,slew [sluː]
Sling,sling [slɪŋ]
spontánně,spontaneously [spɑːnˈteɪ.ni.əs.li]
jeseter,sturgeon [ˈstɝː.dʒən]
Předvolání,subpoena [səˈpiː.nə]
Sylabus,syllabus [ˈsɪl.ə.bəs]
textový,textual [ˈteks.tʃu.əl]
ropucha,toad [toʊd]
Neovšem,unaffected [ˌʌn.əˈfek.tɪd]
nepopiratelný,undeniable [ˌʌn.dɪˈnaɪ.ə.bəl]
Upstate,upstate [ˈʌp.steɪt]
ostražití,vigilant [ˈvɪdʒ.əl.ənt]
prohlídka,visitation [ˌvɪz.əˈteɪ.ʃən]
Viva,viva [ˈvaɪ.və]
podložka,washer [ˈwɑː.ʃɚ]
knot,wick [wɪk]
světské,worldly [ˈwɝːld.li]
přísada,additive [ˈæd.ə.t̬ɪv]
Adept,adept [əˈdept]
výhodný,advantageous [ˌæd.vænˈteɪ.dʒəs]
na vodě,afloat [əˈfloʊt]
Agility,agility [əˈdʒɪl.ə.t̬i]
Anon,anon [əˈnɑːn]
ante,ante [ˈæn.t̬i]
souostroví,archipelago [ˌɑːr.kəˈpel.ə.ɡoʊ]
kvetoucí,blooming [ˈbluː.mɪŋ]
táborák,bonfire [ˈbɑːn.faɪr]
psí,canine [ˈkeɪ.naɪn]
řezbář,carver [ˈkɑːr.vɚ]
kauzální,causal [ˈkɑː.zəl]
centrálně,centrally [ˈsen.trə.li]
roztleskávačka,cheerleader [ˈtʃɪrˌliː.dɚ]
Circling,circling [ˈsɝː.kəl]
citadela,citadel [ˈsɪt̬.ə.del]
kolonialismus,colonialism [kəˈloʊ.ni.ə.lɪ.zəm]
kompromis,compromising [ˈkɑːm.prə.maɪ.zɪŋ]
palubní deska,dashboard [ˈdæʃ.bɔːrd]
nedostatečný,deficient [dɪˈfɪʃ.ənt]
degenerovat,degenerate [dɪˈdʒen.ə.reɪt]
démonický,demonic [dɪˈmɑː.nɪk]
odstrašující prostředek,deterrent [dɪˈter.ənt]
pohrdání,disdain [dɪsˈdeɪn]
hanebný,disgraceful [dɪsˈɡreɪs.fəl]
psí,doggy [ˈdɑː.ɡi]
Dole,dole [doʊl]
Dun,dun [dʌn]
děsivý,eerie [ˈɪr.i]
erodovat,erode [ɪˈroʊd]
výlet,excursion [ɪkˈskɝː.ʒən]
exponenciální,exponential [ˌek.spoʊˈnen.ʃəl]
fraška,farce [fɑːrs]
smrtelně,fatally [ˈfeɪ.t̬əl.i]
zběsilé,frantic [ˈfræn.t̬ɪk]
fondán,fudge [fʌdʒ]
klouzat,glide [ɡlaɪd]
špína,grime [ɡraɪm]
hrubě,grossly [ˈɡroʊs.li]
zášť,grudge [ɡrʌdʒ]
harmonický,harmonic [hɑːrˈmɑː.nɪk]
bezcitný,heartless [ˈhɑːrt.ləs]
hektický,hectic [ˈhek.tɪk]
hormonální,hormonal [hɔːrˈmoʊ.nəl]
informátor,informant [ɪnˈfɔːr.mənt]
rušivé,intrusive [ɪnˈtruː.sɪv]
vyvolat,invoke [ɪnˈvoʊk]
blbec,jackass [ˈdʒæk.æs]
leták,leaflet [ˈliː.flət]
lux,lux [lʌks]
žezlo,mace [meɪs]
zhoubný,malignant [məˈlɪɡ.nənt]
hříva,mane [meɪn]
řasenka,mascara [mæsˈker.ə]
Maverick,maverick [ˈmæv.ɚ.ɪk]
opravit,mend [mend]
migréna,migraine [ˈmaɪ.ɡreɪn]
Mitt,mitt [mɪt]
roztavený,molten [ˈmoʊl.tən]
monzun,monsoon [mɑːnˈsuːn]
montáž,montage [ˈmɑːn.tɑːʒ]
nedbalý,negligent [ˈneɡ.lə.dʒənt]
nula,nil [nɪl]
vášnivě,passionately [ˈpæʃ.ə.nɪt.li]
přesvědčení,persuasion [pɚˈsweɪ.ʒən]
přehoz,plaid [plæd]
Přehrávání,playback [ˈpleɪ.bæk]
plyš,plush [plʌʃ]
pozitivita,positivity [ˌpɑː.zəˈtɪv.ə.t̬i]
přednost,precedence [ˈpres.ə.dens]
nedotčený,pristine [prɪˈstiːn]
prognóza,prognosis [prɑːɡˈnoʊ.sɪs]
vrtule,propeller [prəˈpel.ɚ]
raketa,racket [ˈræk.ɪt]
realisticky,realistically [ˌriː.əˈlɪs.tɪ.kəl.i]
reorganizace,reorganization [riːˌɔːr.ɡən.əˈzeɪ.ʃən]
vyhledávání,retrieval [rɪˈtriː.vəl]
kolotoč,roundabout [ˈraʊnd.ə.baʊt]
solný,saline [ˈseɪ.liːn]
sotva,scarcely [ˈskers.li]
Budování lodí,shipbuilding [ˈʃɪpˌbɪl.dɪŋ]
Pokrst rameny,shrug [ʃrʌɡ]
zakouřený,smoky [ˈsmoʊ.ki]
rýč,spade [speɪd]
mírný,temperate [ˈtem.pɚ.ət]
tematický,thematic [θiːˈmæt̬.ɪk]
trojice,threesome [ˈθriː.səm]
bouřka,thunderstorm [ˈθʌn.dɚ.stɔːrm]
Toater,toaster [ˈtoʊ.stɚ]
ztrojnásobit,treble [ˈtreb.əl]
tyrkysový,turquoise [ˈtɝː.kɔɪz]
ultrafialový,ultraviolet [ˌʌl.trəˈvaɪə.lət]
objektivní,unbiased [ʌnˈbaɪəst]
nevděčný,ungrateful [ʌnˈɡreɪt.fəl]
neléčené,untreated [ʌnˈtriː.t̬ɪd]
účelnost,usefulness [ˈjuːs.fəl.nəs]
vandalství,vandalism [ˈvæn.dəl.ɪ.zəm]
vibrovat,vibrate [ˈvaɪ.breɪt]
samohláska,vowel [vaʊəl]
Voyager,voyager [ˈvɔɪ.ɪ.dʒɚ]
svar,weld [weld]
vlkodlak,werewolf [ˈwer.wʊlf]
Nesprávné,wrongful [ˈrɑːŋ.fəl]
aligátor,alligator [ˈæl.ə.ɡeɪ.t̬ɚ]
antagonista,antagonist [ænˈtæɡ.ən.ɪst]
přiblížení,approximation [əˌprɑːk.səˈmeɪ.ʃən]
aromatický,aromatic [ˌer.əˈmæt̬.ɪk]
barokní,baroque [bəˈroʊk]
pořadač,binder [ˈbaɪn.dɚ]
slepě,blindly [ˈblaɪnd.li]
briga,brig [brɪɡ]
Buggy,buggy [ˈbʌɡ.i]
kanonický,canonical [kəˈnɑː.nɪ.kəl]
opatrně,cautiously [ˈkɑː.ʃəs.li]
celer,celery [ˈsel.ɚ.i]
spolupracovník,collaborator [kəˈlæb.ə.reɪ.t̬ɚ]
křeč,cramp [kræmp]
Cutie,cutie [ˈkjuː.t̬i]
Dab,dab [dæb]
Dar,dar [ˌdɑːr es səˈlɑːm]
nespokojenost,dissatisfaction [ˌdɪs.sæt̬.əsˈfæk.ʃən]
riskantní,dodgy [ˈdɑː.dʒi]
pozemský,earthly [ˈɝːθ.li]
volitelný,elective [ɪˈlek.tɪv]
vysílat,emit [iˈmɪt]
zotročit,enslave [ɪnˈsleɪv]
Ethos,ethos [ˈiː.θɑːs]
očitý svědek,eyewitness [ˈaɪˌwɪt.nəs]
teplouš,fag [fæɡ]
prchavý,fleeting [ˈfliː.t̬ɪŋ]
propadnutí,forfeit [ˈfɔːr.fɪt]
slévárna,foundry [ˈfaʊn.dri]
žirafa,giraffe [dʒɪˈræf]
mlýnek,grinder [ˈɡraɪn.dɚ]
střelec,gunman [ˈɡʌn.mən]
dárkový koš,hamper [ˈhæm.pɚ]
léčitel,healer [ˈhiː.lɚ]
střevní,intestinal [ˌɪnˈtes.tɪn.əl]
Jock,jock [dʒɑːk]
manický,manic [ˈmæn.ɪk]
potrubí,manifold [ˈmæn.ə.foʊld]
měřitelný,measurable [ˈmeʒ.ɚ.ə.bəl]
Meek,meek [miːk]
měkký,mellow [ˈmel.oʊ]
meloun,melon [ˈmel.ən]
potrat,miscarriage [ˈmɪsˌker.ɪdʒ]
vyprávění,narration [nerˈeɪ.ʃən]
NIP,nip [nɪp]
zapomenutí,oblivion [əˈblɪv.i.ən]
ambulantní,outpatient [ˈaʊt.peɪ.ʃənt]
brožura,pamphlet [ˈpæm.flət]
zahynout,perish [ˈper.ɪʃ]
filantropie,philanthropy [fɪˈlæn.θrə.pi]
znečištěno,polluted [pəˈluː.t̬ɪd]
lektvar,potion [ˈpoʊ.ʃən]
připravenost,preparedness [prɪˈper.əd.nəs]
Primal,primal [ˈpraɪ.məl]
quid,quid [kwɪd]
vnímavý,receptive [rɪˈsep.tɪv]
Redundance,redundancy [rɪˈdʌn.dən.si]
sob,reindeer [ˈreɪn.dɪr]
relaps,relapse [rɪˈlæps]
záliba,relish [ˈrel.ɪʃ]
Rendezvous,rendezvous [ˈrɑːn.deɪ.vuː]
reverzibilní,reversible [rɪˈvɝː.sə.bəl]
hlodavec,rodent [ˈroʊ.dənt]
jeřáb,rowan [ˈroʊ.ən]
selektivně,selectively [səˈlek.t̬ɪv.li]
vedlejší linka,sideline [ˈsaɪd.laɪn]
zjednodušující,simplistic [sɪmˈplɪs.tɪk]
dozorčí,supervisory [ˌsuː.pɚˈvaɪ.zɚ.i]
slabika,syllable [ˈsɪl.ə.bəl]
synod,synod [ˈsɪn.əd]
zrádný,treacherous [ˈtretʃ.ɚ.əs]
nevýslovný,untold [ʌnˈtoʊld]
povznášející,uplifting [ʌpˈlɪf.tɪŋ]
očkovat,vaccinate [ˈvæk.sə.neɪt]
všestrannost,versatility [ˌvɝː.səˈtɪl.ə.t̬i]
vizualizace,visualization [ˌvɪʒ.u.əl.əˈzeɪ.ʃən]
volt,volt [voʊlt]
ovládat,wield [wiːld]
abnormalita,abnormality [ˌæb.nɔːrˈmæl.ə.t̬i]
přiřaditelné,attributable [əˈtrɪb.jə.t̬ə.bəl]
ozub,barb [bɑːrb]
bašta,bastion [ˈbæs.ti.ən]
posílení,bolster [ˈboʊl.stɚ]
hýkání,bray [breɪ]
kategorizovat,categorize [ˈkæt̬.ə.ɡɚ.aɪz]
vrtulník,chopper [ˈtʃɑː.pɚ]
tlustý,chunky [ˈtʃʌŋ.ki]
soudržný,cohesive [koʊˈhiː.sɪv]
komando,commando [kəˈmæn.doʊ]
vítězící,conquering [ˈkɑːŋ.kɚ]
svárlivý,contentious [kənˈten.tʃəs]
útulný,cosy [ˈkoʊ.zi]
Zhroucení,crease [kriːs]
dehydratace,dehydration [ˌdiː.haɪˈdreɪ.ʃən]
označení,denomination [dɪˌnɑː.məˈneɪ.ʃən]
trávení,digestion [daɪˈdʒes.tʃən]
demontovat,dismantle [dɪˈsmæn.t̬əl]
nespokojený,dissatisfied [ˌdɪsˈsæt̬.əs.faɪd]
embargo,embargo [ɪmˈbɑːr.ɡoʊ]
ztělesnění,embodiment [ɪmˈbɑː.di.mənt]
rytina,engraving [ɪnˈɡreɪ.vɪŋ]
Entrench,entrench [ɪnˈtrentʃ]
vysvětlující,explanatory [ɪkˈsplæn.ə.tɔːr.i]
extremismus,extremism [ɪkˈstriː.mɪ.zəm]
filtrace,filtration [fɪlˈtreɪ.ʃən]
dokončit,finalize [ˈfaɪ.nəl.aɪz]
Fungal,fungal [ˈfʌŋ.ɡəl]
temnota,gloom [ɡluːm]
šotek,goblin [ˈɡɑː.blɪn]
Gunner,gunner [ˈɡʌn.ɚ]
křeček,hamster [ˈhæm.stɚ]
pokrytecký,hypocritical [ˌhɪp.əˈkrɪt̬.ɪ.kəl]
proslulý,illustrious [ɪˈlʌs.tri.əs]
vedlejší,incidental [ˌɪn.sɪˈden.t̬əl]
indigo,indigo [ˈɪn.dɪ.ɡoʊ]
vzpoura,insurgency [ɪnˈsɝː.dʒən.si]
nepravidelnost,irregularity [ɪˌreɡ.jəˈler.ə.t̬i]
labyrint,labyrinth [ˈlæb.ə.rɪnθ]
předpeklí,limbo [ˈlɪm.boʊ]
mizerný,lousy [ˈlaʊ.zi]
oběd,luncheon [ˈlʌn.tʃən]
poštovní schránka,mailbox [ˈmeɪl.bɑːks]
Memorabilia,memorabilia [ˌmem.ər.əˈbɪl.i.ə]
živit,nurture [ˈnɝː.tʃɚ]
nevšímavý,oblivious [əˈblɪv.i.əs]
óda,ode [oʊd]
zjevný,overt [oʊˈvɝːt]
patriarcha,patriarch [ˈpeɪ.tri.ɑːrk]
přístřešek,penthouse [ˈpent.haʊs]
křivá přísaha,perjury [ˈpɝː.dʒɚ.i]
zbožný,pious [ˈpaɪ.əs]
práškový,powdered [ˈpaʊ.dɚd]
předčasně,prematurely [ˌpriː.məˈtʃʊr.li]
majitel,proprietor [prəˈpraɪə.t̬ɚ]
hádka,quarrel [ˈkwɔːr.əl]
sleva,rebate [ˈriː.beɪt]
obnova,resurgence [rɪˈsɝː.dʒəns]
kohout,rooster [ˈruː.stɚ]
bezproblémový,seamless [ˈsiːm.ləs]
nemocný,sicken [ˈsɪk.ən]
silueta,silhouette [ˌsɪl.əˈwet]
slimák,slug [slʌɡ]
samolibý,smug [smʌɡ]
soprán,soprano [səˈpræn.oʊ]
stagnující,stagnant [ˈstæɡ.nənt]
šlacha,tendon [ˈten.dən]
Tvoje,thine [ðaɪn]
houževnatost,toughness [ˈtʌf.nəs]
nezodpovězený,unanswered [ʌnˈæn.sɚd]
neetické,unethical [ˌʌnˈeθ.ɪ.kəl]
Uptown,uptown [ˌʌpˈtaʊn]
moč,urinary [ˈjʊr.ɪ.ner.i]
statečný,valiant [ˈvæl.i.ənt]
Vigilante,vigilante [ˌvɪdʒ.əˈlæn.t̬i]
zmije,viper [ˈvaɪ.pɚ]
všední den,weekday [ˈwiːk.deɪ]
abstrakce,abstraction [æbˈstræk.ʃən]
doplněk,adjunct [ˈædʒ.ʌŋkt]
pozorný,attentive [əˈten.t̬ɪv]
tetička,auntie [ˈæn.t̬i]
barbar,barbarian [bɑːrˈber.i.ən]
zobák,beak [biːk]
béžový,beige [beɪʒ]
borůvka,blueberry [ˈbluːˌbər.i]
kanec,boar [bɔːr]
rozšířit,broaden [ˈbrɑː.dən]
objemný,bulky [ˈbʌl.ki]
kameraman,cameraman [ˈkæm.rə.mæn]
uhlohydrát,carbohydrate [ˌkɑːr.boʊˈhaɪ.dreɪt]
krveprolití,carnage [ˈkɑːr.nɪdʒ]
zámek,chateau [ʃætˈoʊ]
chválit,commend [kəˈmend]
komuna,commune [ˈkɑː.mjuːn]
přesvědčivé,conclusive [kənˈkluː.sɪv]
konzervatoř,conservatory [kənˈsɝː.və.twɑːr]
ohleduplný,considerate [kənˈsɪd.ɚ.ət]
vrkat,coo [kuː]
kultivovaný,cultured [ˈkʌl.tʃɚd]
depresivní,depressive [dɪˈpres.ɪv]
