stoupání,rise [raɪz]
okolnost(i),circumstance [ˈsɝː.kəm.stæns]
korporace,corporation [ˌkɔːr.pəˈreɪ.ʃən]
plakat,cry [kraɪ]
nebezpečí,danger [ˈdeɪn.dʒɚ]
doručení,delivery [dɪˈlɪv.ɚ.i]
zasloužit si,deserve [dɪˈzɝːv]
prázdný,empty [ˈemp.ti]
lidový,folk [foʊk]
pohlaví,gender [ˈdʒen.dɚ]
případ (jeden konkrétní),instance [ˈɪn.stəns]
pohyb,motion [ˈmoʊ.ʃən]
výhra(vyhraná hodnota),prize [praɪz]
rozumný,reasonable [ˈriː.zən.ə.bəl]
rejstřík,register [ˈredʒ.ə.stɚ]
usnesení,resolution [ˌrez.əˈluː.ʃən]
vesnický,rural [ˈrʊr.əl]
ožehnout,singe [sɪndʒ]
nástroj (pomůcka),tool [tuːl]
typický,typical [ˈtɪp.ɪ.kəl]
vesmír,universe [ˈjuː.nə.vɝːs]
varování,warning [ˈwɔːr.nɪŋ]
připustit,admit [ədˈmɪt]
postoj,attitude [ˈæt̬.ə.tuːd]
větev,branch [bræntʃ]
Brazílie,brazil [brəˈzɪl]
dirigovat,conduct [kənˈdʌkt]
desetiletí,decade [ˈdek.eɪd]
definice,definition [ˌdef.ɪˈnɪʃ.ən]
laskavost,favor [ˈfeɪ.vɚ]
vlajka,flag [flæɡ]
rám,frame [freɪm]
host,guest [ɡest]
nebe,heaven [ˈhev.ən]
nezávislost,independence [ˌɪn.dɪˈpen.dəns]
instituce,institution [ˌɪn.stəˈtuː.ʃən]
líbat,kiss [kɪs]
naložit,load [loʊd]
spiknutí,plot [plɑːt]
možnost,possibility [ˌpɑː.səˈbɪl.ə.t̬i]
náhodný,random [ˈræn.dəm]
zotavení,recovery [rɪˈkʌv.ɚ.i]
nájemné,rent [rent]
nahradit,replace [rɪˈpleɪs]
zastupovat,represent [ˌrep.rɪˈzent]
senátor,senator [ˈsen.ə.t̬ɚ]
špička,tip [tɪp]
akademický,academic [ˌæk.əˈdem.ɪk]
akademie,academy [əˈkæd.ə.mi]
přesný,accurate [ˈæk.jɚ.ət]
dosáhnout,achieve [əˈtʃiːv]
dovolit si,afford [əˈfɔːrd]
předpokládat,assume [əˈsuːm]
láhev,bottle [ˈbɑː.t̬əl]
svazek,bunch [bʌntʃ]
kategorie,category [ˈkæt̬.ə.ɡɔːr.i]
povídání,chat [tʃæt]
sýr,cheese [tʃiːz]
chemikálie,chemical [ˈkem.ɪ.kəl]
konkurenční,competitive [kəmˈpet̬.ə.t̬ɪv]
strava,diet [ˈdaɪ.ət]
ovoce,fruit [fruːt]
index,index [ˈɪn.deks]
(jízdní) pruh,lane [leɪn]
nepořádek,mess [mes]
námořnictvo,navy [ˈneɪ.vi]
normálně,normally [ˈnɔːr.mə.li]
vyskytovat se,occur [əˈkɝː]
opozice,opposition [ˌɑː.pəˈzɪʃ.ən]
trvalý,permanent [ˈpɝː.mə.nənt]
osobně,personally [ˈpɝː.sən.əl.i]
potěšení,pleasure [ˈpleʒ.ɚ]
upřednostňovat,prefer [prɪˈfɝː]
zástupce,representative [ˌrep.rɪˈzen.t̬ə.t̬ɪv]
schéma,scheme [skiːm]
přesunout (se),shift [ʃɪft]
skladování,storage [ˈstɔːr.ɪdʒ]
nádrž,tank [tæŋk]
tíhnout,tend [tend]
těsný,tight [taɪt]
doprava,transportation [ˌtræn.spɚˈteɪ.ʃən]
nakonec,ultimately [ˈʌl.tə.mət.li]
na rozdíl od,unlike [ʌnˈlaɪk]
(jednou) týdně,weekly [ˈwiː.kli]
yard,yard [jɑːrd]
kdokoli,anybody [ˈen.iˌbɑː.di]
klad (přínos),asset [ˈæs.et]
basketbal,basketball [ˈbæs.kət.bɑːl]
knoflík,button [ˈbʌt.ən]
boj (bojování),combat [ˈkɑːm.bæt]
ústava,constitution [ˌkɑːn.stəˈtuː.ʃən]
spotřebitel,consumer [kənˈsuː.mɚ]
pult,counter [ˈkaʊn.t̬ɚ]
stvoření,creation [kriˈeɪ.ʃən]
koruna,crown [kraʊn]
definovat,define [dɪˈfaɪn]
záviset,depend [dɪˈpend]
deprese,depression [dɪˈpreʃ.ən]
výhradní,exclusive [ɪksˈkluː.sɪv]
"omluva (důvod, vysvětlení)",excuse [ɪkˈskjuːz]
odborník,expert [ˈek.spɝːt]
často,frequently [ˈfriː.kwənt.li]
golf,golf [ɡɑːlf]
ladnost,grace [ɡreɪs]
s nadějí,hopefully [ˈhoʊp.fəl.i]
důležitost,importance [ɪmˈpɔːr.təns]
položit,lay [leɪ]
hornictví,mining [ˈmaɪ.nɪŋ]
předmět,object [ˈɑːb.dʒɪkt]
vzor(ec),pattern [ˈpæt̬.ɚn]
personál,personnel [ˌpɝː.sənˈel]
perspektiva,perspective [pɚˈspek.tɪv]
těhotná,pregnant [ˈpreɡ.nənt]
premiér,premier [prɪˈmɪr]
podporovat,promote [prəˈmoʊt]
q,q [kjuː]
revoluce,revolution [ˌrev.əˈluː.ʃən]
vážný,severe [səˈvɪr]
spaní,sleeping [ˈsliː.pɪŋ]
turnaj,tournament [ˈtɝː.nə.mənt]
krocan,turkey [ˈtɝː.ki]
oběť,victim [ˈvɪk.təm]
(z)účastnit se,attend [əˈtend]
zákaz,ban [bæn]
brilantní,brilliant [ˈbrɪl.jənt]
uhlík,carbon [ˈkɑːr.bən]
katolík,catholic [ˈkæθ.əl.ɪk]
kruh,circle [ˈsɝː.kəl]
koncert,concert [ˈkɑːn.sɚt]
havárie,crash [kræʃ]
prohlásit,declare [dɪˈkler]
hloubka,depth [depθ]
zástupce,deputy [ˈdep.jə.t̬i]
špinavý,dirty [ˈdɝː.t̬i]
vydělat,earn [ɝːn]
elektronický,electronic [ɪˌlekˈtrɑː.nɪk]
chyba,error [ˈer.ɚ]
existence,existence [ɪɡˈzɪs.təns]
výraz,expression [ɪkˈspreʃ.ən]
továrna,factory [ˈfæk.tɚ.i]
interiér,interior [ɪnˈtɪr.i.ɚ]
radost,joy [dʒɔɪ]
legislativa,legislation [ˌledʒ.əˈsleɪ.ʃən]
údržba,maintenance [ˈmeɪn.tən.əns]
způsob,manner [ˈmæn.ɚ]
nedaleko,nearby [ˌnɪrˈbaɪ]
hluk,noise [nɔɪz]
původ,origin [ˈɔːr.ə.dʒɪn]
panel,panel [ˈpæn.əl]
úleva,relief [rɪˈliːf]
odpor,resistance [rɪˈzɪs.təns]
maloobchod,retail [ˈriː.teɪl]
rýže,rice [raɪs]
střecha,roof [ruːf]
stud,shame [ʃeɪm]
poněkud,somewhat [ˈsʌm.wɑːt]
určitě,surely [ˈʃʊr.li]
naprostý,absolute [ˈæb.sə.luːt]
reklama,advertising [ˈæd.vɚ.taɪ.zɪŋ]
baseball,baseball [ˈbeɪs.bɑːl]
koupelna,bathroom [ˈbæθ.ruːm]
kabel,cable [ˈkeɪ.bəl]
klidný,calm [kɑːm]
mistrovství,championship [ˈtʃæm.pi.ən.ʃɪp]
klient,client [ˈklaɪ.ənt]
konstantní,constant [ˈkɑːn.stənt]
němý,dumb [dʌm]
říše,empire [ˈem.paɪr]
vzrušující,exciting [ɪkˈsaɪ.t̬ɪŋ]
rozšíření,expansion [ɪkˈspæn.ʃən]
těžce,heavily [ˈhev.əl.i]
schovat (se),hide [haɪd]
incident,incident [ˈɪn.sɪ.dənt]
politik,politician [ˌpɑː.ləˈtɪʃ.ən]
(vy)tisknout,print [prɪnt]
skončit,quit [kwɪt]
odmítnout,refuse [rɪˈfjuːz]
spatřit,sight [saɪt]
významně,significantly [sɪɡˈnɪf.ə.kənt.li]
(za)zpívat,sing [sɪŋ]
sovětský,soviet [ˈsoʊ.vi.ət]
mokrý,wet [wet]
široce,widely [ˈwaɪd.li]
výročí,anniversary [ˌæn.əˈvɝː.sɚ.i]
atraktivní,attractive [əˈtræk.tɪv]
kolo(jízdní),bike [baɪk]
široký,broad [brɑːd]
hořet,burn [bɝːn]
dort,cake [keɪk]
těsně,closely [ˈkloʊs.li]
neustále,constantly [ˈkɑːn.stənt.li]
soutěž,contest [ˈkɑːn.test]
poplatek,fee [fiː]
sotva,hardly [ˈhɑːrd.li]
klobouk,hat [hæt]
výška,height [haɪt]
pozvat,invite [ɪnˈvaɪt]
hlasitý,loud [laʊd]
voják námořní pěchoty,marine [məˈriːn]
vrchol,peak [piːk]
část,portion [ˈpɔːr.ʃən]
libra,pound [paʊnd]
princezna,princess [prɪnˈses]
bílkovina,protein [ˈproʊ.tiːn]
nezpracovaný,raw [rɑː]
reforma,reform [rɪˈfɔːrm]
(za)reagovat,respond [rɪˈspɑːnd]
odchod do důchodu,retirement [rɪˈtaɪr.mənt]
