kvalifikovat se,qualify [ˈkwɑː.lə.faɪ]
přechod,crossing [ˈkrɑː.sɪŋ]
hustota,density [ˈden.sə.t̬i]
obtížnost,difficulty [ˈdɪf.ə.kəl.t̬i]
základní,elementary [ˌel.əˈmen.t̬ɚ.i]
etnický,ethnic [ˈeθ.nɪk]
výdaj,expense [ɪkˈspens]
flotila,fleet [fliːt]
pěstounský,foster [ˈfɑː.stɚ]
základní,fundamental [ˌfʌn.dəˈmen.t̬əl]
génius,genius [ˈdʒiː.ni.əs]
velice,greatly [ˈɡreɪt.li]
(odborné) vedení,guidance [ˈɡaɪ.dəns]
infekce,infection [ɪnˈfek.ʃən]
úmysl,intention [ɪnˈten.ʃən]
koleno,knee [niː]
mechanický,mechanical [məˈkæn.ɪ.kəl]
účast,participation [pɑːrˌtɪs.əˈpeɪ.ʃən]
drahocenný,precious [ˈpreʃ.əs]
těhotenství,pregnancy [ˈpreɡ.nən.si]
předstírat,pretend [prɪˈtend]
kněz,priest [priːst]
význačný,prominent [ˈprɑː.mə.nənt]
radikální,radical [ˈræd.ɪ.kəl]
obytný,residential [ˌrez.əˈden.ʃəl]
odměna,reward [rɪˈwɔːrd]
červenka,robin [ˈrɑː.bɪn]
satelit,satellite [ˈsæt̬.əl.aɪt]
(za)třást,shake [ʃeɪk]
břeh,shore [ʃɔːr]
značný,substantial [səbˈstæn.ʃəl]
přenos,transmission [trænˈsmɪʃ.ən]
past,trap [træp]
uniforma,uniform [ˈjuː.nə.fɔːrm]
divoká příroda/zvěř,wildlife [ˈwaɪld.laɪf]
dřevěný,wooden [ˈwʊd.ən]
agresivní,aggressive [əˈɡres.ɪv]
zdánlivý,apparent [əˈper.ənt]
rána (zvuk),bang [bæŋ]
(silný) výbuch,blast [blæst]
komunista,communist [ˈkɑː.m.jə.nɪst]
stížnost,complaint [kəmˈpleɪnt]
odvaha,courage [ˈkɝː.ɪdʒ]
lék,cure [kjʊr]
zoufalý,desperate [ˈdes.pɚ.ət]
rozmanitost,diversity [dɪˈvɝː.sə.t̬i]
předvečer (události),eve [iːv]
fakulta,faculty [ˈfæk.əl.t̬i]
zpětná vazba,feedback [ˈfiːd.bæk]
bojovník,fighter [ˈfaɪ.t̬ɚ]
inovace,innovation [ˌɪn.əˈveɪ.ʃən]
nástroj,instrument [ˈɪn.strə.mənt]
investovat,invest [ɪnˈvest]
sako,jacket [ˈdʒæk.ɪt]
zákonodárný,legislative [ˈledʒ.ə.slə.t̬ɪv]
ošetřovatelský,nursing [ˈnɝː.sɪŋ]
obsadit,occupy [ˈɑː.kjə.paɪ]
probíhající,ongoing [ˈɑːnˌɡoʊ.ɪŋ]
operátor,operator [ˈɑː.pə.reɪ.t̬ɚ]
bolestivý,painful [ˈpeɪn.fəl]
příprava,preparation [ˌprep.əˈreɪ.ʃən]
praštit (pěstí),punch [pʌntʃ]
fialová,purple [ˈpɝː.pəl]
železniční trať,railroad [ˈreɪl.roʊd]
registrace,registration [ˌredʒ.əˈstreɪ.ʃən]
románek,romance [roʊˈmæns]
podrobit se,submit [səbˈmɪt]
dostatečný,sufficient [səˈfɪʃ.ənt]
pozastavit,suspend [səˈspend]
tkáň,tissue [ˈtɪʃ.uː]
přívěs,trailer [ˈtreɪ.lɚ]
v podzemí,underground [ˈʌn.dɚ.ɡraʊnd]
"proti (zápas, proces)",versus [ˈvɝː.səs]
virtuální,virtual [ˈvɝː.tʃu.əl]
zranit (zbraní ap.),wound [wuːnd]
oznámení,announcement [əˈnaʊns.mənt]
zařídit,arrange [əˈreɪndʒ]
arzenál,arsenal [ˈɑːr.sən.əl]
přitahovat,attract [əˈtrækt]
biologický,biological [ˌbaɪ.əˈlɑː.dʒɪ.kəl]
kousnout,bite [baɪt]
čip,chip [tʃɪp]
odvážit se,dare [der]
diskriminace,discrimination [dɪˌskrɪm.əˈneɪ.ʃən]
porucha (zdravotní ap.),disorder [dɪˈsɔːr.dɚ]
rozesílat,distribute [dɪˈstrɪb.juːt]
dokument,documentary [ˌdɑː.kjəˈmen.t̬ɚ.i]
doména,domain [doʊˈmeɪn]
dynamický,dynamic [daɪˈnæm.ɪk]
provést korektury (textu),edit [ˈed.ɪt]
zasnoubení,engagement [ɪnˈɡeɪdʒ.mənt]
(pro)zkoumat,explore [ɪkˈsplɔːr]
(filmový) záznam,footage [ˈfʊt̬.ɪdʒ]
hrob,grave [ɡreɪv]
zavedení,implementation [ˌɪm.plə.menˈteɪ.ʃən]
vyšetřovat,investigate [ɪnˈves.tə.ɡeɪt]
laboratoř,laboratory [ˈlæb.rə.tɔːr.i]
literární,literary [ˈlɪt̬.ə.rer.i]
maska,mask [mæsk]
klavír,piano [piˈæn.oʊ]
(po)chválit,praise [preɪz]
prezentace,presentation [ˌprez.ənˈteɪ.ʃən]
psychologie,psychology [saɪˈkɑː.lə.dʒi]
omezení,restriction [rɪˈstrɪk.ʃən]
raketa,rocket [ˈrɑː.kɪt]
zřícenina,ruin [ˈruː.ɪn]
otrok,slave [sleɪv]
stabilita,stability [stəˈbɪl.ə.t̬i]
stabilní,steady [ˈsted.i]
symbol,symbol [ˈsɪm.bəl]
terminál,terminal [ˈtɝː.mə.nəl]
toaleta,toilet [ˈtɔɪ.lət]
smlouva,treaty [ˈtriː.t̬i]
trojitý,triple [ˈtrɪp.əl]
nepravděpodobný,unlikely [ʌnˈlaɪ.kli]
program schůze,agenda [əˈdʒen.də]
netopýr,bat [bæt]
luk,bow [baʊ]
kalendář,calendar [ˈkæl.ən.dɚ]
kolektivní,collective [kəˈlek.tɪv]
řemeslo,craft [kræft]
tma,darkness [ˈdɑːrk.nəs]
ďábel,devil [ˈdev.əl]
umožnit,enable [ɪˈneɪ.bəl]
vlastní kapitál,equity [ˈek.wə.t̬i]
jmění,fortune [ˈfɔːr.tʃuːn]
železářské zboží,hardware [ˈhɑːrd.wer]
intelektuální,intellectual [ˌɪn.t̬əlˈek.tʃu.əl]
částečně,partly [ˈpɑːrt.li]
petice,petition [pəˈtɪʃ.ən]
fráze,phrase [freɪz]
fyzicky,physically [ˈfɪz.ɪ.kəl.i]
rasový,racial [ˈreɪ.ʃəl]
režim,regime [reɪˈʒiːm]
omáčka,sauce [sɑːs]
pečeť,seal [siːl]
(ochranný) štít,shield [ʃiːld]
podobně,similarly [ˈsɪm.ə.lɚ.li]
klouzat (se),slide [slaɪd]
stonek,stem [stem]
summit,summit [ˈsʌm.ɪt]
hrdlo,throat [θroʊt]
tygr,tiger [ˈtaɪ.ɡɚ]
hračka,toy [tɔɪ]
bojovník,warrior [ˈwɔːr.i.ɚ]
mimozemšťan,alien [ˈeɪ.li.ən]
trapný,awkward [ˈɑː.kwɚd]
bestie,beast [biːst]
hovězí,beef [biːf]
sladkost(i),candy [ˈkæn.di]
dopravce,carrier [ˈker.i.ɚ]
oslava,celebration [ˌsel.əˈbreɪ.ʃən]
celebrita,celebrity [səˈleb.rə.t̬i]
osvědčení,certificate [sɚˈtɪf.ə.kət]
(o)citovat,cite [saɪt]
jíl,clay [kleɪ]
trenér,coaching [ˈkoʊ.tʃɪŋ]
kolega,colleague [ˈkɑː.liːɡ]
postavit,construct [kənˈstrʌkt]
předem nastavený,default [dɪˈfɑːlt]
odvodit,derive [dɪˈraɪv]
dialog,dialogue [ˈdaɪ.ə.lɑːɡ]
zneškodnit,disable [dɪˈseɪ.bəl]
zřetelný,distinct [dɪˈstɪŋkt]
vláčet (po zemi),drag [dræɡ]
vzdělávat,educate [ˈedʒ.ə.keɪt]
způsobilý,eligible [ˈel.ə.dʒə.bəl]
poprava,execution [ˌek.səˈkjuː.ʃən]
stoupenec,follower [ˈfɑː.loʊ.ɚ]
blázen,fool [fuːl]
rámec,framework [ˈfreɪm.wɝːk]
licence (k provozování pobočky),franchise [ˈfræn.tʃaɪz]
nábytek,furniture [ˈfɝː.nɪ.tʃɚ]
začlenit (se),integrate [ˈɪn.t̬ə.ɡreɪt]
inteligentní,intelligent [ɪnˈtel.ə.dʒənt]
interakce,interaction [ˌɪn.t̬ɚˈræk.ʃən]
tryska,jet [dʒet]
osvětlení,lighting [ˈlaɪ.t̬ɪŋ]
smyčka,loop [luːp]
nákupní centrum,mall [mɑːl]
zámořský,overseas [ˌoʊ.vɚˈsiːz]
naleštit,polish [ˈpɑː.lɪʃ]
doporučení,recommendation [ˌrek.ə.menˈdeɪ.ʃən]
zotavit se,recover [rɪˈkʌv.ɚ]
relaxovat,relax [rɪˈlæks]
spolehlivý,reliable [rɪˈlaɪ.ə.bəl]
spoléhat (se),rely [rɪˈlaɪ]
pozoruhodný,remarkable [rɪˈmɑːr.kə.bəl]
obětovat,sacrifice [ˈsæk.rə.faɪs]
chodidlo,sole [soʊl]
uspět,succeed [səkˈsiːd]
příběh,tale [teɪl]
dobrovolník,volunteer [ˌvɑː.lənˈtɪr]
uctívat,worship [ˈwɝː.ʃɪp]
vážený (form.),worthy [ˈwɝː.ði]
poplach,alarm [əˈlɑːrm]
dýchání,breathing [ˈbriː.ðɪŋ]
zadek,butt [bʌt]
charakteristika,characteristic [ˌker.ək.təˈrɪs.tɪk]
spolupráce,collaboration [kəˌlæb.əˈreɪ.ʃən]
zvážení,consideration [kənˌsɪd.əˈreɪ.ʃən]
klíčový,crucial [ˈkruː.ʃəl]
závislý (odkázaný),dependent [dɪˈpen.dənt]
dvojí,dual [ˈduː.əl]
vybavit,equip [ɪˈkwɪp]
experimentální,experimental [ɪkˌsper.əˈmen.t̬əl]
krmení,feeding [ˈfiː.dɪŋ]
(pře)filtrovat,filter [ˈfɪl.tɚ]
galaxie,galaxy [ˈɡæl.ək.si]
zeměkoule,globe [ɡloʊb]
záliv,gulf [ɡʌlf]
zvýraznit,highlight [ˈhaɪ.laɪt]
úmysl,intent [ɪnˈtent]
rozsudek,judgment [ˈdʒʌdʒ.mənt]
rytíř,knight [naɪt]
dospět,mature [məˈtʃʊr]
pokojný,peaceful [ˈpiːs.fəl]
špendlík,pin [pɪn]
prevence,prevention [prɪˈven.ʃən]
tisk(nutí),printing [ˈprɪn.t̬ɪŋ]
veřejně,publicly [ˈpʌb.lɪ.kli]
čerpadlo,pump [pʌmp]
pomsta,revenge [rɪˈvendʒ]
uspokojit,satisfy [ˈsæt̬.ɪs.faɪ]
uklouznout,slip [slɪp]
náhradní,spare [sper]
specialista,specialist [ˈspeʃ.əl.ɪst]
překvapivý,surprising [sɚˈpraɪ.zɪŋ]
kohoutek,tap [tæp]
turistika,tourism [ˈtʊr.ɪ.zəm]
přijatelný,acceptable [əkˈsept.ə.bəl]
spojenec,ally [ˈæl.aɪ]
dražba,auction [ˈɑːk.ʃən]
chaos,chaos [ˈkeɪ.ɑːs]
skládat (hudbu ap.),compose [kəmˈpoʊz]
soustředění,concentration [ˌkɑːn.sənˈtreɪ.ʃən]
měď,copper [ˈkɑː.pɚ]
speciální jednotky,corps [kɔːr]
počítání,counting [kaʊnt]
svítání,dawn [dɑːn]
spor,dispute [dɪˈspjuːt]
popravit,execute [ˈek.sə.kjuːt]
častý,frequent [ˈfriː.kwənt]
"okraj (kraj předmětu, hrana ap.)",margin [ˈmɑːr.dʒɪn]
mechanismus,mechanism [ˈmek.ə.nɪ.zəm]
umírněný,moderate [ˈmɑː.dɚ.ət]
opera,opera [ˈɑː.pɚ.ə]
překonat,overcome [ˌoʊ.vɚˈkʌm]
paralela,parallel [ˈper.ə.lel]
pasáž,passage [ˈpæs.ɪdʒ]
jáma,pit [pɪt]
psychický,psychological [ˌsaɪ.kəˈlɑː.dʒɪ.kəl]
hledání (kniž.),quest [kwest]
záření,radiation [ˌreɪ.diˈeɪ.ʃən]
mrtvice,stroke [stroʊk]
omračující (událost),stunning [ˈstʌn.ɪŋ]
melodie,tune [tuːn]
užitečnost,utility [juːˈtɪl.ə.t̬i]
plavidlo,vessel [ˈves.əl]
plevel,weed [wiːd]
kdekoli,wherever [werˈev.ɚ]
akvizice,acquisition [ˌæk.wəˈzɪʃ.ən]
podzim,autumn [ˈɑː.t̬əm]
odvážný,bold [boʊld]
dýchat,breathe [briːð]
klasický,classical [ˈklæs.ɪ.kəl]
sponka,clip [klɪp]
mince,coin [kɔɪn]
spiknutí,conspiracy [kənˈspɪr.ə.si]
kontroverze,controversy [ˈkɑːn.trə.vɝː.si]
bednář,cooper [ˈkuː.pɚ]
zmizet,disappear [ˌdɪs.əˈpɪr]
setkání (náhodné potkání),encounter [ɪnˈkaʊn.t̬ɚ]
rovnost,equality [iˈkwɑː.lə.t̬i]
zkouška,exam [ɪɡˈzæm]
zkouška,examination [ɪɡˌzæm.əˈneɪ.ʃən]
federace,federation [ˌfed.əˈreɪ.ʃən]
fiskální,fiscal [ˈfɪs.kəl]
strážce,guardian [ˈɡɑːr.di.ən]
bez domova,homeless [ˈhoʊm.ləs]
intervence,intervention [ˌɪn.t̬ɚˈven.ʃən]
milenec,lover [ˈlʌv.ɚ]
menu,menu [ˈmen.juː]
vzájemný,mutual [ˈmjuː.tʃu.əl]
přestupek,offense [əˈfens]
ústní,oral [ˈɔːr.əl]
panika,panic [ˈpæn.ɪk]
roztrhnout (se),rip [rɪp]
segment,segment [ˈseɡ.mənt]
spektrum,spectrum [ˈspek.trəm]
hrůza,terror [ˈter.ɚ]
obchodní spekulace,venture [ˈven.tʃɚ]
uspořádání,arrangement [əˈreɪndʒ.mənt]
"hranice (rozhraní, předěl)",boundary [ˈbaʊn.dər.i]
cihla,brick [brɪk]
značný,considerable [kənˈsɪd.ɚ.ə.bəl]
konvenční,conventional [kənˈven.ʃən.əl]
vyhradit (vyčlenit),designate [ˈdez.ɪɡ.neɪt]
císař,emperor [ˈem.pɚ.ɚ]
zaměstnavatel,employer [ɪmˈplɔɪ.ɚ]
obrovský,enormous [əˈnɔːr.məs]
odpustit,forgive [fɚˈɡɪv]
garáž,garage [ɡəˈrɑːʒ]
shromáždění,gathering [ˈɡæð.ɚ.ɪŋ]
směrnice,guideline [ˈɡaɪd.laɪn]
otázka (form.),inquiry [ˈɪn.kwɚ.i]
inspektor,inspector [ɪnˈspek.tɚ]
lev,lion [ˈlaɪ.ən]
osamělý,lonely [ˈloʊn.li]
slitování,mercy [ˈmɝː.si]
nicméně,nevertheless [ˌnev.ɚ.ðəˈles]
"zevní (stěny, vrstva ap.)",outer [ˈaʊ.t̬ɚ]
kyslík,oxygen [ˈɑːk.sɪ.dʒən]
trubka,pipe [paɪp]
báseň,poem [ˈpoʊ.əm]
prášek (rozmělněná hmota),powder [ˈpaʊ.dɚ]
rasismus,racism [ˈreɪ.sɪ.zəm]
sprostý,rude [ruːd]
šroub,screw [skruː]
přístřeší,shelter [ˈʃel.t̬ɚ]
podpis,signature [ˈsɪɡ.nə.tʃɚ]
pavouk,spider [ˈspaɪ.dɚ]
projev úcty,tribute [ˈtrɪb.juːt]
spoušť,trigger [ˈtrɪɡ.ɚ]
lišit se,vary [ˈver.i]
místo konání,venue [ˈven.juː]
interrupce,abortion [əˈbɔːr.ʃən]
přesnost,accuracy [ˈæk.jɚ.ə.si]
umělý,artificial [ˌɑːr.t̬əˈfɪʃ.əl]
důsledně,consistently [kənˈsɪs.tənt.li]
přeměna (jedné látky v jinou ap.),conversion [kənˈvɝː.ʒən]
autorské právo,copyright [ˈkɑː.pi.raɪt]
demokrat,democrat [ˈdem.ə.kræt]
vklad,deposit [dɪˈpɑː.zɪt]
destination,destination [ˌdes.təˈneɪ.ʃən]
špína,dirt [dɝːt]
rozmanitý,diverse [dɪˈvɝːs]
božský,divine [dɪˈvaɪn]
výhradně,exclusively [ɪksˈkluː.sɪv.li]
vyvážet,export [ˈek.spɔːrt]
dříve (původně),formerly [ˈfɔːr.mɚ.li]
funkční,functional [ˈfʌŋk.ʃən.əl]
dědeček,grandfather [ˈɡræn.fɑː.ðɚ]
zvyk,habit [ˈhæb.ɪt]
žárlivý,jealous [ˈdʒel.əs]
líný,lazy [ˈleɪ.zi]
pozměnit,modify [ˈmɑː.də.faɪ]
obecní,municipal [mjuːˈnɪs.ə.pəl]
námořní,naval [ˈneɪ.vəl]
soused,neighbor [ˈneɪ·bər]
neutrální,neutral [ˈnuː.trəl]
urozený,noble [ˈnoʊ.bəl]
(po)plácat,pat [pæt]
popularita,popularity [ˌpɑː.pjəˈler.ə.t̬i]
robot,robot [ˈroʊ.bɑːt]
posvátný,sacred [ˈseɪ.krɪd]
špión,spy [spaɪ]
návrh (nabídnutí možnosti),suggestion [səˈdʒes.tʃən]
pozastavení,suspension [səˈspen.ʃən]
terorismus,terrorism [ˈter.ər.ɪ.zəm]
jedovatý,toxic [ˈtɑːk.sɪk]
pokladnice,treasury [ˈtreʒ.ɚ.i]
tunel,tunnel [ˈtʌn.əl]
modernizace,upgrade [ʌpˈɡreɪd]
aktivně,actively [ˈæk.tɪv.li]
pekař,baker [ˈbeɪ.kɚ]
(po)žehnat,bless [bles]
kartáček,brush [brʌʃ]
břemeno,burden [ˈbɝː.dən]
nenucený,casual [ˈkæʒ.uː.əl]
potvrdit (úředně ap.),certify [ˈsɝː.t̬ə.faɪ]
civil(ista),civilian [səˈvɪl.jən]
koalice,coalition [koʊ.əˈlɪʃ.ən]
kohout,cock [kɑːk]
stěžovat si,complain [kəmˈpleɪn]
kontroverzní,controversial [ˌkɑːn.trəˈvɝː.ʃəl]
různě,differently [ˈdɪf.ɚ.ənt.li]
kázeň,discipline [ˈdɪs.ə.plɪn]
odporný,disgusting [dɪsˈɡʌs.tɪŋ]
dominantní,dominant [ˈdɑː.mə.nənt]
slohová práce,essay [ˈes.eɪ]
navíc,furthermore [ˈfɝː.ðɚ.mɔːr]
názorný (výklad ap.),graphic [ˈɡræf.ɪk]
hojení,healing [ˈhiː.lɪŋ]
(z)realizovat,implement [ˈɪm.plə.ment]
okamžitě,instantly [ˈɪn.stənt.li]
invaze,invasion [ɪnˈveɪ.ʒən]
legendární,legendary [ˈledʒ.der.i]
výrobce,maker [ˈmeɪ.kɚ]
venkovní,outdoor [ˈaʊtˌdɔːr]
dlaň,palm [pɑːm]
tyč(ka),pole [poʊl]
hospoda,pub [pʌb]
správce parku,ranger [ˈreɪn.dʒɚ]
recepce,reception [rɪˈsep.ʃən]
recept (kuchařský) ,recipe [ˈres.ə.pi]
regulační,regulatory [ˈreɡ.jə.lə.tɔːr.i]
pryž,rubber [ˈrʌb.ɚ]
seriál,serial [ˈsɪr.i.əl]
had,snake [sneɪk]
sponzor,sponsor [ˈspɑːn.sɚ]
přísný,strict [strɪkt]
následně,subsequently [ˈsʌb.sɪ.kwənt.li]
látka,substance [ˈsʌb.stəns]
syndrom,syndrome [ˈsɪn.droʊm]
nečekaný,unexpected [ˌʌn.ɪkˈspek.tɪd]
(míra) používání,usage [ˈjuː.sɪdʒ]
náhodně,accidentally [ˌæk.səˈden.t̬əl.i]
cenově dostupné,affordable [əˈfɔːr.də.bəl]
amatér,amateur [ˈæm.ə.tʃɚ]
zásobník (skladovací nádoba),bin [bɪn]
biologie,biology [baɪˈɑː.lə.dʒi]
krátce (po krátkou dobu),briefly [ˈbriːf.li]
kanál,canal [kəˈnæl]
zrušit,cancel [ˈkæn.səl]
výstup (zdola nahoru),climb [klaɪm]
dokončení,completion [kəmˈpliː.ʃən]
výletní plavba,cruise [kruːz]
(názorně) předvést,demonstrate [ˈdem.ən.streɪt]
odjezd (opuštění místa),departure [dɪˈpɑːr.tʃɚ]
vývojář(ka),developer [dɪˈvel.ə.pɚ]
(vy)kopat,dig [dɪɡ]
orel,eagle [ˈiː.ɡəl]
výbuch,explosion [ɪkˈsploʊ.ʒən]
horečka,fever [ˈfiː.vɚ]
tekutina,fluid [ˈfluː.ɪd]
hezký,handsome [ˈhæn.səm]
představivost,imagination [ɪˌmædʒ.əˈneɪ.ʃən]
integrace,integration [ˌɪn.t̬əˈɡreɪ.ʃən]
morální zásadovost,integrity [ɪnˈteɡ.rə.t̬i]
výklad,interpretation [ɪnˌtɝː.prəˈteɪ.ʃən]
list,leaf [liːf]
legitimní,legitimate [ləˈdʒɪt̬.ə.mət]
blesk(y),lightning [ˈlaɪt.nɪŋ]
kouzelný,magical [ˈmædʒ.ɪ.kəl]
motivace,motivation [ˌmoʊ.t̬əˈveɪ.ʃən]
hnusný,nasty [ˈnæs.ti]
vybavit,outfit [ˈaʊt.fɪt]
důchod,pension [ˈpen.ʃən]
povolení (úřední a jiný souhlas),permit [pɚˈmɪt]
příjemný,pleasant [ˈplez.ənt]
portrét,portrait [ˈpɔːr.trɪt]
produktivní,productive [prəˈdʌk.tɪv]
bezpečně,safely [ˈseɪf.li]
drobný (postavou),slight [slaɪt]
socialistický,socialist [ˈsoʊ.ʃəl.ɪst]
streamování,streaming [ˈstriː.mɪŋ]
(za)žalovat,sue [suː]
napětí,tension [ˈten.ʃən]
dojemný,touching [ˈtʌtʃ.ɪŋ]
transakce,transaction [trænˈzæk.ʃən]
(z)kroutit,twist [twɪst]
nezaměstnanost,unemployment [ˌʌn.ɪmˈplɔɪ.mənt]
jednota,unity [ˈjuː.nə.t̬i]
zbytečný,useless [ˈjuːs.ləs]
divák,viewer [ˈvjuː.ɚ]
obhájce,advocate [ˈæd.və.keɪt]
oblouk,arc [ɑːrk]
záloha (dat),backup [ˈbæk.ʌp]
hořký,bitter [ˈbɪt̬.ɚ]
chytrý,clever [ˈklev.ɚ]
klinika,clinic [ˈklɪn.ɪk]
nepřetržitý,continuous [kənˈtɪn.ju.əs]
konvertovat,convert [kənˈvɝːt]
správně,correctly [kəˈrekt.li]
tvůrce,creator [kriˈeɪ.t̬ɚ]
stvoření,creature [ˈkriː.tʃɚ]
postižení,disability [ˌdɪs.əˈbɪl.ə.t̬i]
(mělká) mísa,dish [dɪʃ]
kachna,duck [dʌk]
ohodnocení,evaluation [ɪˌvæl.juˈeɪ.ʃən]
nadbytek,excess [ɪkˈses]
zemědělství,farming [ˈfɑːr.mɪŋ]
plot,fence [fens]
postupně,gradually [ˈɡrædʒ.u.ə.li]
gravitace,gravity [ˈɡræv.ə.t̬i]
držák,holder [ˈhoʊl.dɚ]
kapuce,hood [hʊd]
identický,identical [aɪˈden.t̬ə.kəl]
císařský,imperial [ɪmˈpɪr.i.əl]
právně,legally [ˈliː.ɡəl.i]
metr,meter [ˈmiː.t̬ɚ]
hřebík,nail [neɪl]
jednání,negotiation [nəˌɡoʊ.ʃiˈeɪ.ʃən]
nesmysl,nonsense [ˈnɑːn.sens]
akceschopný,operational [ˌɑː.pəˈreɪ.ʃən.əl]
básník,poet [ˈpoʊ.ət]
opakovaně,repeatedly [rɪˈpiː.t̬ɪd.li]
dřez,sink [sɪŋk]
vynechat (přeskočit),skip [skɪp]
otroctví,slavery [ˈsleɪ.vər.i]
lusknout (prsty),snap [snæp]
plavat,swim [swɪm]
švýcarský,swiss [swɪs]
transformace,transformation [ˌtræns.fɚˈmeɪ.ʃən]
zranitelné,vulnerable [ˈvʌl.nɚ.ə.bəl]
bohatý,wealthy [ˈwel.θi]
navíc,additionally [əˈdɪʃ.ən.əl.i]
bronz,bronze [brɑːnz]
brouk (hovor.),bug [bʌɡ]
jeskyně,cave [keɪv]
chronický,chronic [ˈkrɑː.nɪk]
komunikovat,communicate [kəˈmjuː.nə.keɪt]
usvědčit,convict [kənˈvɪkt]
diagnóza,diagnosis [ˌdaɪ.əɡˈnoʊ.sɪs]
propustit (ze zaměstnání ap.),dismiss [dɪˈsmɪs]
dávka,dose [doʊs]
"maso (živé, část těla)",flesh [fleʃ]
cvrnknout,flip [flɪp]
štědrý,generous [ˈdʒen.ər.əs]
loajální,loyal [ˈlɔɪ.əl]
marihuana,marijuana [ˌmer.əˈwɑː.nə]
okupace,occupation [ˌɑː.kjəˈpeɪ.ʃən]
oponent,opponent [əˈpoʊ.nənt]
malba,painting [ˈpeɪn.t̬ɪŋ]
záplata,patch [pætʃ]
trpělivost,patience [ˈpeɪ.ʃəns]
znečištění,pollution [pəˈluː.ʃən]
přesně,precisely [prəˈsaɪs.li]
vězeň,prisoner [ˈprɪz.ən.ɚ]
výsada,privilege [ˈprɪv.əl.ɪdʒ]
punk,punk [pʌŋk]
radar,radar [ˈreɪ.dɑːr]
vzdorovat,resist [rɪˈzɪst]
výhradně,solely [ˈsoʊl.li]
turista,tourist [ˈtʊr.ɪst]
tranzit,transit [ˈtræn.zɪt]
vila,villa [ˈvɪl.ə]
bezdrátový,wireless [ˈwaɪr.ləs]
(za)balit,wrap [ræp]
jóga,yoga [ˈjoʊ.ɡə]
bakterie,bacteria [bækˈtɪr.i.ə]
vedle (těsně u něčeho),beside [bɪˈsaɪd]
čepel,blade [bleɪd]
dolar,buck [bʌk]
(velký) objem,bulk [bʌlk]
náklad,cargo [ˈkɑːr.ɡoʊ]
sčítání lidu,census [ˈsen.səs]
pobřežní,coastal [ˈkoʊ.stəl]
komentář,commentary [ˈkɑː.mən.ter.i]
zmatek,confusion [kənˈfjuː.ʒən]
kongresový,congressional [kəŋˈɡreʃ.ən.əl]
kukuřice,corn [kɔːrn]
obchodník,dealer [ˈdiː.lɚ]
považovat,deem [diːm]
osud,destiny [ˈdes.tɪ.ni]
vzdálený,distant [ˈdɪs.tənt]
vynořit se,emerge [ɪˈmɝːdʒ]
důraz,emphasis [ˈem.fə.sɪs]
etika,ethic [ˈeθ.ɪk]
vzrušení,excitement [ɪkˈsaɪt.mənt]
průzkum,exploration [ˌek.spləˈreɪ.ʃən]
humor,humor [ˈhjuː.mɚ]
vhled,insight [ˈɪn.saɪt]
nerv,nerve [nɝːv]
noční můra,nightmare [ˈnaɪt.mer]
přes noc,overnight [ˌoʊ.vɚˈnaɪt]
plakát,poster [ˈpoʊ.stɚ]
prakticky,practically [ˈpræk.tɪ.kəl.i]
zachovat,preserve [prɪˈzɝːv]
razie,raid [reɪd]
beran,ram [ræm]
příslušný,respective [rɪˈspek.tɪv]
omezit,restrict [rɪˈstrɪkt]
písečný,sandy [ˈsæn.dɪ]
scénář,scenario [səˈner.i.oʊ]
ovce,sheep [ʃiːp]
umístit,situate [ˈsɪtʃ.u.eɪt]
(trvale)/(dlouhodobě) udržitelný ,sustainable [səˈsteɪ.nə.bəl]
taxi,taxi [ˈtæk.si]
tabák,tobacco [təˈbæk.oʊ]
stopa,trace [treɪs]
nepohodlný,uncomfortable [ʌnˈkʌm.fɚ.t̬ə]
slabost,weakness [ˈwiːk.nəs]
(velmi) rozšířený,widespread [ˌwaɪdˈspred]
přístupný,accessible [əkˈses.ə.bəl]
uznat (fakt ap.),acknowledge [əkˈnɑː.lɪdʒ]
poradit,advise [ədˈvaɪz]
veřejné varování,advisory [ədˈvaɪ.zɚ.i]
animace,animation [ˌæn.əˈmeɪ.ʃən]
"úkol (oficiálně zadaný, formální)",assignment [əˈsaɪn.mənt]
vyvážený,balanced [ˈbæl.ənst]
holý,bare [ber]
suterén,basement [ˈbeɪs.mənt]
zaujatost,bias [ˈbaɪ.əs]
koberec,carpet [ˈkɑːr.pət]
strop,ceiling [ˈsiː.lɪŋ]
třešeň,cherry [ˈtʃer.i]
chladno,chill [tʃɪl]
klasifikace,classification [ˌklæs.ə.fəˈkeɪ.ʃən]
vodítko (k řešení),clue [kluː]
zřícení,collapse [kəˈlæps]
složený (z více částí),compound [ˈkɑːm.paʊnd]
vědom(ý) (si),conscious [ˈkɑːn.ʃəs]
po sobě jdoucí,consecutive [kənˈsek.jə.t̬ɪv]
kostým,costume [ˈkɑː.stuːm]
oddaný,devoted [dɪˈvoʊ.t̬ɪd]
ovládnout (získat převahu),dominate [ˈdɑː.mə.neɪt]
hrabě,earl [ɝːl]
nekonečný,endless [ˈend.ləs]
prozkoumat,examine [ɪɡˈzæm.ɪn]
nést se (zvolna se pohybovat),float [floʊt]
odpad(ky),garbage [ˈɡɑːr.bɪdʒ]
evangelium,gospel [ˈɡɑː.spəl]
